Name,URL,Image_URL,Home,Age,Movie Mentioned,Cover artist,Genre,Pages,Movie Appearances,Eye Color,ISBN,Followed by,Special features,Inhabitants,Mentioned,Appearance,Publication date,Type,Preceded by,Publisher,Country,Arena,Author,Occupation,Duration,Head Gamemaker,Appearances,Height,Date,Also known as,Relatives,Hair,Book Mentioned,Fate,Book Appearances,Portrayed by,Outcome,Location,Victor's home,Weapon,Victor,Gender
Hilarius Heavensbee,https://thehungergames.fandom.com/wiki/Hilarius_Heavensbee,https://static.wikia.nocookie.net/thehungergames/images/6/66/Hilariush.jpg/revision/latest/scale-to-width-down/268?cb=20231222121914,The Capitol,18 ( The Ballad of Songbirds and Snakes ),,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,Plutarch Heavensbee (relative) Trajan Heavensbee (ancestor),,Sunrise on the Reaping,Presumed deceased,The Ballad of Songbirds and Snakes,Florian Burgkart,,,,,,Male
Homes,https://thehungergames.fandom.com/wiki/Homes,https://static.wikia.nocookie.net/thehungergames/images/e/ed/Homes_02.png/revision/latest/scale-to-width-down/268?cb=20151018070815,District 13,"An ""older guy"" [ 1 ]",,,,,Mockingjay - Part 2,,,,,,,,,,,,,,,Soldier,,,,,,,,,,Deceased,Mockingjay,Omid Abtahi,,,,Gun,,Male
Hull,https://thehungergames.fandom.com/wiki/Hull,https://static.wikia.nocookie.net/thehungergames/images/8/8c/Hull.png/revision/latest?cb=20260418035604,District 11,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Heterochromic (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,6’0” (film),,,,Brown (film),,Deceased,Sunrise on the Reaping,Kaine Buffonge [ 2 ],,,,Pitchfork [ 1 ] (book) Sledgehammer (film),,Male
Hunger Games (event),https://thehungergames.fandom.com/wiki/Hunger_Games_(event),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hy,https://thehungergames.fandom.com/wiki/Hy,https://static.wikia.nocookie.net/thehungergames/images/c/c5/HyBTS.png/revision/latest/scale-to-width-down/268?cb=20250416215652,District 5,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark-brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Black (film),,Deceased,The Ballad of Songbirds and Snakes,Kittipong Ace Cunjanagan,,,,Machete (film),,Male
Hychel,https://thehungergames.fandom.com/wiki/Hychel,https://static.wikia.nocookie.net/thehungergames/images/a/a8/Hychel.png/revision/latest?cb=20260418033346,District 5,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’10”,,,,Dark brown (film),,Deceased,Sunrise on the Reaping,Seedy Touray,,,,,,Male
Ima McCoy,https://thehungergames.fandom.com/wiki/Ima_McCoy,,The Seam in District 12,At least 14 [ 1 ],,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. McCoy (father) Mrs. McCoy (mother) Cayson McCoy (brother) Louella McCoy † (younger sister) 4 Unnamed siblings,,Sunrise on the Reaping,,,,,,,,,Female
Incitatus Loomy,https://thehungergames.fandom.com/wiki/Incitatus_Loomy,,The Capitol,,,,,,,,,,,,,,,,,,,,,Parade master [ 1 ],,,,,,,,,Sunrise on the Reaping,Deceased,,,,,,,,Male
Io Jasper,https://thehungergames.fandom.com/wiki/Io_Jasper,https://static.wikia.nocookie.net/thehungergames/images/4/4b/Io_Jasper.jpg/revision/latest/scale-to-width-down/268?cb=20231106221325,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Seyna Sylla,,,,,,Female
Iphigenia Moss,https://thehungergames.fandom.com/wiki/Iphigenia_Moss,https://static.wikia.nocookie.net/thehungergames/images/5/57/Iphigenia_Moss.jpg/revision/latest/scale-to-width-down/268?cb=20231222170719,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Anni Baumann,,,,,,Female
Jabberjay,https://thehungergames.fandom.com/wiki/Jabberjay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,https://thehungergames.fandom.com/wiki/Jackson,https://static.wikia.nocookie.net/thehungergames/images/d/d8/Jackson-rebel-base-camp-capitol.jpg/revision/latest/scale-to-width-down/268?cb=20151124025940,District 13,Middle-aged,,,,,Mockingjay - Part 2,,,,,,,,,,,,,,,Lieutenant,,,,,,,,,,Deceased,Mockingjay,Michelle Forbes,,,,Gun,,Female
Janus,https://thehungergames.fandom.com/wiki/Janus,,District 2,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping,Brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,6’1 (film),,,,Light brown (film),,Deceased,Sunrise on the Reaping,Michael Schweisser,,,,,,Male
Jessup Diggs,https://thehungergames.fandom.com/wiki/Jessup_Diggs,https://static.wikia.nocookie.net/thehungergames/images/0/00/Jessup_Diggs.jpg/revision/latest/scale-to-width-down/268?cb=20231208154514,District 12,18 [ 1 ],,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Black (film),,Deceased (Died of rabies and injuries from a fall),The Ballad of Songbirds and Snakes,Nick Benson,,,,,,Male
Jethro Callow,https://thehungergames.fandom.com/wiki/Jethro_Callow,,District 12,,,,,,,,,,,,,,,,,,,,,Coal miner Booker Boy,,,,,,,Mrs. Callow (wife) Wyatt Callow (son),,,Deceased,Sunrise on the Reaping,,,,,,,Male
Johanna Mason,https://thehungergames.fandom.com/wiki/Johanna_Mason,https://static.wikia.nocookie.net/thehungergames/images/b/b7/Johannamason_capitolprofile.jpg/revision/latest/scale-to-width-down/268?cb=20130819201220,Victors' Village in District 7 The Capitol & District 13 (briefly),17 ( 71st Hunger Games ) 21 ( Catching Fire ) [ 1 ] [ 2 ] 21-22 ( Mockingjay ),,,,,Catching Fire (film) Mockingjay - Part 1 Mockingjay - Part 2,Brown (books) Green (films),,,,,,,,,,,,,,Victor ( 71st Hunger Games ) Tribute ( 75th Hunger Games ) Sex worker (unwillingly) [ 3 ],,,,,,,Unnamed family,Brown (books and films) Brown with red dyed streaks ( The Hunger Games: Catching Fire ),The Hunger Games,Alive,Catching Fire Mockingjay,Jena Malone,,,,Axes Throwing Axes Wrestling Gun,,Female
Jubilee,https://thehungergames.fandom.com/wiki/Jubilee,,The Capitol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,Male
Junius,https://thehungergames.fandom.com/wiki/Junius,https://static.wikia.nocookie.net/thehungergames/images/8/8c/Beanpole.jpg/revision/latest?cb=20231223173852,The Capitol District 12,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Peacekeeper,,,,Tall,,Beanpole,,,,Alive,The Ballad of Songbirds and Snakes,Scott Folan,,,,Peacekeeper's rifle,,Male
Juno Phipps,https://thehungergames.fandom.com/wiki/Juno_Phipps,https://static.wikia.nocookie.net/thehungergames/images/a/af/Junop.jpg/revision/latest/scale-to-width-down/268?cb=20231222121807,The Capitol,17-18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Serena Oexle,,,,,,Female
Juvenia,https://thehungergames.fandom.com/wiki/Juvenia,,The Capitol,,,,,,,,,,,,,,,,,,,,,Escort,,,,,,,,,,,Sunrise on the Reaping,,,,,,,Female
Katniss Everdeen,https://thehungergames.fandom.com/wiki/Katniss_Everdeen,https://static.wikia.nocookie.net/thehungergames/images/d/da/KatnissD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042858,Victors' Village in District 12 [ 8 ] District 13 (briefly) [ 5 ] The Seam (pre-74th HG) [ 2 ],16 ( The Hunger Games and Catching Fire ) 17 ( Catching Fire and Mockingjay [ 1 ] ) 18 (End of Mockingjay ) 37+ (epilogue),,,,,The Hunger Games (film) The Hunger Games: Catching Fire Mockingjay - Part 1 Mockingjay - Part 2 The Hunger Games: Sunrise on the Reaping (upcoming),Gray (books) [ 2 ] Light blue (films),,,,,,,,,,,,,,Hunter [ 2 ] Victor ( 74th HG ) [ 3 ] Tribute ( 75th HG ) [ 4 ] Soldier [ 5 ] [ 6 ] Mockingjay of the Second Rebellion [ 7 ],,,,"5'7"" (film) [ 9 ]",,Catnip (by Gale Hawthorne ) Girl on Fire (by Cinna ) The Mockingjay (by rebels ) Sweetheart (by Haymitch Abernathy ),Burdock Everdeen † (father) Asterid Everdeen (mother) Primrose Everdeen † (younger sister) Peeta Mellark (husband) Unnamed daughter and son Lenore Dove Baird † (distant cousin) The Covey (distant relations),Black (books) [ 2 ] Brown (films),,Alive,The Hunger Games Catching Fire Mockingjay Sunrise on the Reaping,Jennifer Lawrence (films) Mia Carragher ( stage ),,,,Bow and arrow Knife Throwing knives Snares Gun,,Female
Kerna,https://thehungergames.fandom.com/wiki/Kerna,https://static.wikia.nocookie.net/thehungergames/images/2/24/Kerna.png/revision/latest?cb=20260604031603,District 9,12 (film) [ 1 ] ( 50th Hunger Games ),,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Blue (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,4’9” (film),,,,Brown (film),,Deceased,Sunrise on the Reaping,Alina Reid [ 2 ],,,,,,Female
Lady,https://thehungergames.fandom.com/wiki/Lady,https://static.wikia.nocookie.net/thehungergames/images/2/27/Goat-lady.jpg/revision/latest/scale-to-width-down/268?cb=20160802140038,The Seam (formerly) Victors' Village in District 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Hunger Games Catching Fire Mockingjay,Presumed deceased,,,,,,,,Female
Lamina,https://thehungergames.fandom.com/wiki/Lamina,https://static.wikia.nocookie.net/thehungergames/images/a/a3/Lamina.jpg/revision/latest/scale-to-width-down/267?cb=20231102210111,District 7,15 [ 1 ],,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Brown (Film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Blonde (Book) Auburn (Film),,Deceased,The Ballad of Songbirds and Snakes,Irene Boehm,,,,Axe Knife,,Female
Lannie,https://thehungergames.fandom.com/wiki/Lannie,https://static.wikia.nocookie.net/thehungergames/images/0/04/Lannie.png/revision/latest/scale-to-width-down/268?cb=20260704204335,District 10,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’3” (film),,,,Brown (film),,Deceased,Sunrise on the Reaping,Madouna Said,,,,,,Female
Lavinia,https://thehungergames.fandom.com/wiki/Lavinia,https://static.wikia.nocookie.net/thehungergames/images/1/17/UntitledAvox.png/revision/latest?cb=20151114192013,The Capitol,20s,,,,,The Hunger Games (film) The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Avox,,,,,,Redheaded Avox girl (by Katniss Everdeen ),,,Mockingjay,Deceased,"The Hunger Games , Catching Fire",Amber Chaney,,,,None,,Female
Lect,https://thehungergames.fandom.com/wiki/Lect,,District 3,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’9” (film),,,,Black (film),,Deceased,Sunrise on the Reaping,Zahel Anwary,,,,,,Male
Leeg 1,https://thehungergames.fandom.com/wiki/Leeg_1,https://static.wikia.nocookie.net/thehungergames/images/7/78/Leeg_1.png/revision/latest/scale-to-width-down/132?cb=20151017134854,District 13,20s,,,,,Mockingjay - Part 2,,,,,,,,,,,,,,,Soldier,,,,,,,Unnamed father Leeg 2 (sister),,,Deceased,Mockingjay,Misty Ormiston,,,,Gun,,Female
Leeg 2,https://thehungergames.fandom.com/wiki/Leeg_2,https://static.wikia.nocookie.net/thehungergames/images/6/69/Leeg_2.png/revision/latest/scale-to-width-down/268?cb=20250727040832,District 13,20s,,,,,Mockingjay - Part 1 [citation needed] Mockingjay - Part 2,,,,,,,,,,,,,,,Soldier,,,,,,,Unnamed father Leeg 1 (sister),,,Deceased,Mockingjay,Kim Ormiston,,,,Gun,,Female
Leevy,https://thehungergames.fandom.com/wiki/Leevy,,The Seam in District 12 District 13 (briefly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,Catching Fire Mockingjay,,,,,,,Female
Lenore Dove Baird,https://thehungergames.fandom.com/wiki/Lenore_Dove_Baird,https://static.wikia.nocookie.net/thehungergames/images/a/a3/LDBSOTR.jpeg/revision/latest/scale-to-width-down/268?cb=20251120160906,The Seam in District 12,16 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping,Dappled green [ 2 ] (book) Dark brown (film),,,,,,,,,,,,,,Rebel,,,,,,,Unnamed mother Unknown father Clerk Carmine Clade (adoptive uncle) Tam Amber (adoptive uncle) Burdock Everdeen † (distant cousin) Katniss Everdeen (distant cousin) Primrose Everdeen † (distant cousin) Unknown relations Lucy Gray Baird Barb Azure Baird Maude Ivory Baird †,Auburn (film),Mockingjay,Deceased,Sunrise on the Reaping,Whitney Peak,,,,,,Female
Lepidus Malmsey,https://thehungergames.fandom.com/wiki/Lepidus_Malmsey,,The Capitol,,,,,,,,,,,,,,,,,,,,,Reporter for Capitol News,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,Male
Lil,https://thehungergames.fandom.com/wiki/Lil,https://static.wikia.nocookie.net/thehungergames/images/0/0e/Lil_%28TBOSAS%29.jpg/revision/latest/scale-to-width-down/268?cb=20231215162920,District 12,Young,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,,,,,,,,,,,Deceased,The Ballad of Songbirds and Snakes,Mona Vojacek Koper,,,,,,Female
Livia Cardew,https://thehungergames.fandom.com/wiki/Livia_Cardew,https://static.wikia.nocookie.net/thehungergames/images/0/06/Liviac.jpg/revision/latest/scale-to-width-down/268?cb=20231222122107,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Flora Li Thiemann,,,,,,Female
Lou Lou,https://thehungergames.fandom.com/wiki/Lou_Lou,https://static.wikia.nocookie.net/thehungergames/images/2/2c/LouLouSOTR.jpeg/revision/latest/scale-to-width-down/268?cb=20251120142701,District 11,13-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Gray [ 1 ] Blue (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ) Body double for Louella McCoy,,,,4’11” (film),,,,Black [ 1 ] Dark brown (film),,Deceased,Sunrise on the Reaping,Iona Bell [ 2 ],,,,,,Female
Louella McCoy,https://thehungergames.fandom.com/wiki/Louella_McCoy,https://static.wikia.nocookie.net/thehungergames/images/6/6c/LouellaTrailer.jpeg/revision/latest/scale-to-width-down/268?cb=20260413133125,The Seam in District 12,13 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Gray (book) Green (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,4’11” (film),,Sweetheart (by Haymitch Abernathy ),Mr. McCoy (father) Mrs. McCoy (mother) Cayson McCoy (older brother) Ima McCoy (older sister) Unnamed siblings,Black (book) Dark brown (film),Catching Fire,Deceased,Sunrise on the Reaping,Molly McCann [ 2 ],,,,,,Female
Loupe,https://thehungergames.fandom.com/wiki/Loupe,https://static.wikia.nocookie.net/thehungergames/images/7/7f/Loupe.png/revision/latest/scale-to-width-down/268?cb=20260418035127,District 1,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’11 (film),,,,Brown (film),,Deceased,Sunrise on the Reaping,Jamal Salamone,,,,,,Male
Lucretius Flickerman,https://thehungergames.fandom.com/wiki/Lucretius_Flickerman,https://static.wikia.nocookie.net/thehungergames/images/b/be/LuckyFlickerman-Poster.jpeg/revision/latest/scale-to-width-down/268?cb=20230922111211,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Weathercaster Interview host for the 10th Hunger Games Television commentator for the 10th Hunger Games,,,,,,Lucky,Caesar Flickerman (possible descendant),,,Presumed Deceased,The Ballad of Songbirds and Snakes Sunrise on the Reaping (on television),Jason Schwartzman,,,,,,Male
Lucy Gray Baird,https://thehungergames.fandom.com/wiki/Lucy_Gray_Baird,https://static.wikia.nocookie.net/thehungergames/images/0/0f/LucyGray-Poster.jpeg/revision/latest/scale-to-width-down/268?cb=20230922110923,The Seam in District 12 Panem,3–6 ( Dark Days ) 16 ( 10th Hunger Games ),,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark brown (film),,,,,,,,,,,,,,Musician Victor ( 10th Hunger Games ),,,,,,,Unnamed father Unnamed mother 2 unnamed older siblings Barb Azure Baird (cousin) Maude Ivory Baird † (younger cousin) The Covey (adoptive family) Distant relatives Lenore Dove Baird † Burdock Everdeen † Katniss Everdeen Primrose Everdeen †,Dark (book) Brown (film),The Hunger Games (indirectly mentioned),"Unknown, presumed deceased [ 1 ]",The Ballad of Songbirds and Snakes Sunrise on the Reaping (on television),Rachel Zegler [ 2 ],,,,Poison Snakes,,Female
Lyle Whitcomb,https://thehungergames.fandom.com/wiki/Lyle_Whitcomb,,District 12,,,,,,,,,,,,,,,,,,,,,Coal miner,,,,,,,Sarshee Whitcomb † (daughter),,Sunrise on the Reaping,Deceased,,,,,,,,Male
Lyme,https://thehungergames.fandom.com/wiki/Lyme,https://static.wikia.nocookie.net/thehungergames/images/9/96/Lyme.jpeg/revision/latest/scale-to-width-down/268?cb=20200828092800,Victors' Village in District 2,Middle-aged,,,,,Mockingjay - Part 2,Blue,,,,,,,,,,,,,,Victor Career Tribute Commander of District 2,,,,"Over 6 feet [ 1 ] 6'3"" (film)",,,,,,Deceased,Mockingjay,Gwendoline Christie,,,,Shotgun Bombs,,Female
Lysistrata Vickers,https://thehungergames.fandom.com/wiki/Lysistrata_Vickers,https://static.wikia.nocookie.net/thehungergames/images/d/d8/Lysistrata_Vickers_announcing.jpg/revision/latest/scale-to-width-down/268?cb=20231025014722,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,Lyssie (by Coriolanus Snow ),,,,,The Ballad of Songbirds and Snakes,Zoe Renee,,,,Water,,Female
Madge Undersee,https://thehungergames.fandom.com/wiki/Madge_Undersee,,District 12,16 ( The Hunger Games ) 17 ( Catching Fire ),,,,,,,,,,,,,,,,,,,,Student,,,,,,,Mayor Undersee † (father) Merrilee Undersee † (mother) Mr. Donner (maternal grandfather) Mrs. Donner (maternal grandmother) Maysilee Donner † (maternal aunt) Unnamed maternal great-grandmother †,Blonde [ 1 ],Mockingjay,Deceased,"The Hunger Games , Catching Fire",,,,,,,Female
Magno Stift,https://thehungergames.fandom.com/wiki/Magno_Stift,,The Capitol,Older than 60 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping (upcoming),,,,,,,,,,,,,,,Stylist,,,,,,,Drusilla Sickle (wife),,,Presumed deceased,Sunrise on the Reaping,Billy Porter,,,,,,Male
Mags Flanagan,https://thehungergames.fandom.com/wiki/Mags,https://static.wikia.nocookie.net/thehungergames/images/0/0b/Quarter_quell_mags.jpg/revision/latest/scale-to-width-down/267?cb=20140218191426,Victors' Village in District 4,16 ( 11th Hunger Games ) 55 ( 50th Hunger Games ) 80 ( 75th Hunger Games ) [ 1 ],,,,,The Hunger Games: Catching Fire Capitol Couture promo for Mockingjay - Part 2 (young) The Hunger Games: Sunrise on the Reaping (upcoming),Brown (film),,,,,,,,,,,,,,Victor ( 11th Hunger Games ) Mentor Tribute ( 75th Hunger Games ) [ 1 ],,,,,,,Finnick Odair (adoptive family) (deceased),"Grey (elderly, book and film) Bronze (younger, film)",Mockingjay,Deceased,Catching Fire Sunrise on the Reaping,Lynn Cohen (CF) Lili Taylor (SOTR) Grace Kull (Capitol Couture),,,,Fishhook Awl,,Female
Marcus,https://thehungergames.fandom.com/wiki/Marcus,https://static.wikia.nocookie.net/thehungergames/images/d/dc/Marcus_%28TBOSAS%29.jpg/revision/latest/scale-to-width-down/268?cb=20260807050902,District 2,18 [ 1 ],,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark-brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Dark-brown (film),,Deceased (mercy kill by Lamina ),The Ballad of Songbirds and Snakes,Jerome Lance,,,,,,Male
Maritte,https://thehungergames.fandom.com/wiki/Maritte,https://static.wikia.nocookie.net/thehungergames/images/d/d9/Maritte.png/revision/latest/scale-to-width-down/268?cb=20260418034934,District 4,15-18,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Green (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’6” (film),,,,Brown (film),,Deceased,Sunrise on the Reaping,Sky Frances [ 1 ],,,,Trident,,Female
Martin,https://thehungergames.fandom.com/wiki/Martin,,District 11,Child,,,,,,,,,,,,,,,,,,,,Harvester,,,,,,,,,The Hunger Games,Deceased,,,,,,,,Male
Marvel,https://thehungergames.fandom.com/wiki/Marvel,https://static.wikia.nocookie.net/thehungergames/images/6/6d/MarvelNormal.png/revision/latest/scale-to-width-down/268?cb=20140318205457,District 1,17 (film) [ 1 ],,,,,The Hunger Games (film) Catching Fire (film),Green (film),,,,,,,,,,,,,,Career Tribute,,,,"6'3"" (film) [ 1 ]",,,,Brown (film),Catching Fire,Deceased,The Hunger Games,Jack Quaid Lewis Easter ( stage ),,,,Javelin (book and film) Kukri (film) Throwing Axe (film) Net,,Male
Maude Ivory Baird,https://thehungergames.fandom.com/wiki/Maude_Ivory,https://static.wikia.nocookie.net/thehungergames/images/6/60/Maudeivoryreap.jpg/revision/latest/scale-to-width-down/268?cb=20231222123712,The Seam in District 12,8–9 (TBOSAS) [ 1 ],,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Green (film),,,,,,,,,,,,,,Musician,,,,,,,Unnamed parents Barb Azure Baird (cousin) Lucy Gray Baird (cousin) Two unnamed cousins (Lucy Gray's siblings) Unknown relations Lenore Dove Baird † Burdock Everdeen † Katniss Everdeen Primrose Everdeen †,Blonde (film),Sunrise on the Reaping,Deceased,The Ballad of Songbirds and Snakes,Vaughan Reilly Josie Hope Hall (singing),,,,,,Female
Mayfair Lipp,https://thehungergames.fandom.com/wiki/Mayfair_Lipp,https://static.wikia.nocookie.net/thehungergames/images/0/05/Mayfair_Lipp.png/revision/latest/scale-to-width-down/268?cb=20231028171402,District 12,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,,,,,,,,Mayor Lipp (father) Mrs. Lipp (mother),,,Deceased,The Ballad of Songbirds and Snakes,Isobel Jesper Jones,,,,,,Female
Mayor Allister,https://thehungergames.fandom.com/wiki/Mayor_Allister,,District 12,,,,,,,,,,,,,,,,,,,,,Mayor,,,,,,,,,,,Sunrise on the Reaping,,,,,,,Female
Mayor Lipp,https://thehungergames.fandom.com/wiki/Mayor_Lipp,https://static.wikia.nocookie.net/thehungergames/images/c/c3/Mayor_Lipp.png/revision/latest/scale-to-width-down/267?cb=20231028171123,District 12,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Mayor of District 12,,,,,,,Mayfair Lipp (daughter) Mrs. Lipp (wife),,,,The Ballad of Songbirds and Snakes,Marc Aden Gray,,,,,,Male
Mayor Undersee,https://thehungergames.fandom.com/wiki/Mayor_Undersee,,District 12,Middle-aged,,,,,,,,,,,,,,,,,,,,Mayor,,,,,,,Merrilee Undersee † (wife) Madge Undersee † (daughter) Maysilee Donner † (sister-in-law),,Mockingjay,Deceased,"The Hunger Games , Catching Fire",,,,,,,Male
Maysilee Donner,https://thehungergames.fandom.com/wiki/Maysilee_Donner,https://static.wikia.nocookie.net/thehungergames/images/f/f1/Maysilee_Donner_SOTR.jpg/revision/latest/scale-to-width-down/268?cb=20260704200452,District 12,16 ( Sunrise on the Reaping ) [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping,Blue [ 4 ],,,,,,,,,,,,,,Tribute ( 50th Hunger Games ) Merchant,,,,5'3” ( film ),,"Sis, Ladybug (by Haymitch Abernathy ) [ 3 ]",Mr. Donner (father) Mrs. Donner (mother) Merrilee Undersee (twin sister) Unnamed grandmother Madge Undersee (niece) Mayor Undersee (brother-in-law),Blonde [ 4 ],Catching Fire,Deceased,Sunrise on the Reaping,Mckenna Grace,,,,Blowgun with poisonous darts [ 2 ],,Female
Mentor,https://thehungergames.fandom.com/wiki/Mentor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrilee Undersee,https://thehungergames.fandom.com/wiki/Merrilee_Undersee,https://static.wikia.nocookie.net/thehungergames/images/6/66/Merrilee.jpeg/revision/latest/scale-to-width-down/268?cb=20260413133229,District 12,16 ( Sunrise on the Reaping ) [ 1 ] 41 ( Catching Fire ),,,,,The Hunger Games: Sunrise on the Reaping (upcoming),,,,,,,,,,,,,,,Housewife,,,,,,Mrs. Undersee,Mr. Donner † (father) Mrs. Donner † (mother) Maysilee Donner † (twin sister) Mayor Undersee † (husband) Madge Undersee † (daughter) Unnamed grandmother †,Blonde [ 2 ],Catching Fire,Deceased,Sunrise on the Reaping,Mckenna Grace,,,,,,Female
Messalla,https://thehungergames.fandom.com/wiki/Messalla,https://static.wikia.nocookie.net/thehungergames/images/5/58/MessallaD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042858,The Capitol District 13 (briefly),Early-mid 20s,,,,,Mockingjay - Part 1 Mockingjay - Part 2,,,,,,,,,,,,,,,Film assistant,,,,,,,,,,Deceased: Killed by Pod in Capitol,Mockingjay,Evan Ross,,,,Gun,,Male
Midge,https://thehungergames.fandom.com/wiki/Midge,https://static.wikia.nocookie.net/thehungergames/images/6/63/Midge1.png/revision/latest/scale-to-width-down/268?cb=20260704205451,District 9,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping,Brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,"5'5"" (film)",,,,Dirty blonde (film),,Deceased,Sunrise on the Reaping,Luise Forberg,,,,,,Female
Miles,https://thehungergames.fandom.com/wiki/Miles,https://static.wikia.nocookie.net/thehungergames/images/5/51/Miles1.png/revision/latest/scale-to-width-down/268?cb=20260704215518,District 6,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,6’0” (film),,“Dove” (by Haymitch),,Brown (film),,Deceased,Sunrise on the Reaping,Tristan Frederichs,,,,,,Male
Mitchell,https://thehungergames.fandom.com/wiki/Mitchell,https://static.wikia.nocookie.net/thehungergames/images/3/3f/Mitchell2.png/revision/latest/scale-to-width-down/268?cb=20170402182607,District 13,"An ""older guy""",,,,,Mockingjay - Part 2,,,,,,,,,,,,,,,Soldier,,,,,,,,,,Deceased,Mockingjay,Joe Chrest,,,,Gun,,Male
