index,Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
728,Roslin Frey,None,,,,35.0,0,1,0,0,1,0,0
729,Rowan,Wildling,300.0,5.0,69.0,37.0,1,0,0,0,0,0,1
730,Rudge,Night's Watch,,,,60.0,1,0,1,0,0,0,0
731,Rusty Flowers,Night's Watch,,,,7.0,1,0,0,0,0,0,1
732,Ryger Rivers,None,,,,59.0,1,0,1,0,0,0,0
733,Ryk,Wildling,,,,7.0,1,0,0,0,1,0,0
734,Rupert Brax,House Lannister,299.0,2.0,32.0,32.0,1,0,0,1,0,0,0
735,Ryman Frey,None,300.0,4.0,44.0,14.0,1,1,0,0,1,1,0
736,Rymolf Stormdrunk,House Greyjoy,,,,24.0,1,0,0,1,0,0,0
737,Ryon Allyrion,Martell,,,,38.0,1,1,0,0,1,0,1
738,Salladhor Saan,Baratheon,,,,0.0,1,1,0,1,1,0,0
739,Sallor,None,299.0,3.0,42.0,42.0,1,0,0,0,1,0,0
740,Samwell Tarly,Night's Watch,,,,70.0,1,1,1,1,1,1,1
741,Sandor Clegane,None,300.0,4.0,31.0,7.0,1,1,1,1,1,1,0
742,Sawane Botley,Greyjoy,299.0,4.0,18.0,1.0,1,1,0,0,0,1,0
743,Sansa Stark,Stark,,,,7.0,0,1,1,1,1,1,0
744,Sarella Sand,House Martell,,,,2.0,0,0,0,0,0,1,0
745,Sarra Frey,None,,,,49.0,0,1,0,0,1,0,0
746,Satin,Night's Watch,,,,6.0,1,0,0,1,1,0,1
747,Sawwood,Night's Watch,,,,0.0,1,0,0,0,1,0,0
748,Sedgekins,None,,,,50.0,1,0,0,0,1,0,0
749,Selyse Florent,Baratheon,,,,0.0,0,1,0,1,1,0,1
750,Senelle,House Lannister,300.0,4.0,24.0,3.0,0,0,0,0,0,1,0
751,Serra Frey,None,,,,49.0,0,1,0,0,1,0,0
752,Shadrich,None,,,,4.0,1,0,0,0,0,1,0
753,Shae,Lannister,300.0,3.0,77.0,62.0,0,0,1,1,1,0,0
754,Shagga,Lannister,,,,39.0,1,0,1,1,0,0,0
755,Shagwell,None,300.0,4.0,20.0,30.0,1,0,0,1,1,1,0
756,Sharna,None,,,,11.0,0,0,0,0,1,0,0
757,Shireen Baratheon,Baratheon,,,,0.0,0,1,0,1,1,0,1
758,Shirei Frey,None,,,,49.0,0,1,0,0,1,0,0
759,Shyra Errol,Baratheon,300.0,4.0,,42.0,0,1,0,1,0,0,0
760,Sigfry Stonetree,Greyjoy,,,,19.0,1,1,0,0,0,1,0
761,Skahaz mo Kandaq,None,,,,2.0,1,1,0,0,0,0,1
762,Skinner,None,,,,12.0,1,0,0,0,0,0,1
763,Small Paul,Night's Watch,299.0,3.0,18.0,0.0,1,0,0,0,1,0,0
764,Softfoot,Night's Watch,299.0,3.0,18.0,0.0,1,0,0,0,1,0,0
765,Sour Alyn,None,,,,12.0,1,0,0,0,0,0,1
766,Spare Boot,Night's Watch,,,,55.0,1,0,0,0,1,0,0
767,Spotted Cat,None,,,,11.0,1,0,0,0,0,0,1
768,Spotted Pate of Maidenpool,Night's Watch,299.0,3.0,55.0,0.0,1,0,0,0,1,0,0
769,Squint,House Greyjoy,299.0,2.0,50.0,50.0,1,0,0,1,0,0,0
770,Squirrel,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
771,Stalwart Shield,Targaryen,300.0,5.0,2.0,2.0,1,0,0,0,0,0,1
772,Steelskin,None,,,,11.0,1,0,0,0,0,0,1
773,Steffon Swyft,Lannister,,,,27.0,1,1,0,0,0,1,0
774,Stevron Frey,Stark,299.0,2.0,35.0,59.0,1,1,1,1,0,0,0
775,Stiv,Wildling,298.0,1.0,37.0,37.0,1,0,1,0,0,0,0
776,Stone Thumbs,Wildling,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0
777,Stonesnake,Night's Watch,,,,43.0,1,0,0,1,0,0,0
778,Stygg,House Greyjoy,,,,37.0,1,0,0,1,0,0,0
779,Styr,Wildling,300.0,3.0,26.0,7.0,1,1,0,0,1,0,0
780,Sybassion,None,,,,63.0,1,0,0,1,0,0,0
781,Sybell Spicer,Lannister,,,,14.0,0,1,0,0,1,1,0
782,Sybelle Glover,Stark,,,,26.0,0,1,0,0,0,0,1
783,Sylva Santagar,Martell,,,,21.0,0,1,0,0,0,1,0
784,Symon Silver Tongue,Lannister,299.0,3.0,32.0,44.0,1,0,0,1,1,0,0
785,Symon Stripeback,Targaryen,,,,70.0,1,0,0,0,0,0,1
786,Symond Frey,None,300.0,5.0,29.0,19.0,1,1,0,0,0,0,1
787,Symond Templeton,Arryn,,,,10.0,1,1,0,0,0,1,0
788,Syrio Forel,House Stark,298.0,1.0,50.0,22.0,1,0,1,0,0,0,0
789,Taena of Myr,Lannister,,,,6.0,0,1,0,0,1,1,0
790,Tal Toraq,Targaryen,,,,70.0,1,0,0,0,0,0,1
791,Tallad,Lannister,,,,17.0,1,0,0,1,1,1,0
792,Tanda Stokeworth,Lannister,300.0,4.0,32.0,2.0,0,1,0,1,1,0,0
793,Tanton Fossoway,Baratheon,,,,22.0,1,1,0,1,0,0,0
794,Ternesio Terys,None,,,,74.0,1,0,0,0,1,0,0
795,Terrance Lynderly,Arryn,,,,41.0,1,1,0,0,0,1,0
796,The Red Lamb,House Targaryen,,,,67.0,1,0,0,0,0,0,1
797,Theo Frey,None,,,,29.0,1,1,1,0,0,0,0
798,Theodan Wells,Stark,,,,43.0,1,1,0,0,0,1,1
799,Theomore Lannister,None,,,,19.0,1,1,0,0,0,0,1
800,Theon Greyjoy,House Greyjoy,,,,1.0,1,1,1,1,0,0,1
801,Thistle,Wildling,300.0,5.0,0.0,0.0,0,0,0,0,0,0,1
802,Thoren Smallwood,Night's Watch,299.0,3.0,18.0,6.0,1,1,0,1,1,0,0
803,Thoros,None,,,,29.0,1,0,1,0,1,1,0
804,Three Toes,None,,,,44.0,1,0,0,0,1,0,0
805,Three-Tooth,Greyjoy,,,,11.0,0,0,0,0,0,1,0
806,Tickler,Lannister,300.0,3.0,74.0,26.0,1,0,0,1,1,0,0
807,Tim Tangletongue,Night's Watch,,,,69.0,1,0,0,0,1,0,0
808,Timeon,None,300.0,4.0,20.0,21.0,1,0,0,0,1,1,0
809,Timett,Lannister,,,,56.0,1,0,1,1,0,0,0
810,Timon,Baratheon,,,,65.0,1,0,0,1,0,0,0
811,Tion Frey,Lannister,299.0,3.0,20.0,20.0,0,1,0,0,1,0,0
812,Tobho Mott,None,,,,27.0,1,0,1,0,1,0,0
813,Todder,Night's Watch,,,,19.0,1,0,1,0,1,0,1
814,Todric,Greyjoy,299.0,2.0,37.0,37.0,1,0,0,1,0,0,0
815,Tom of Sevenstreams,None,,,,13.0,1,0,0,0,1,1,0
816,Tomard,House Stark,298.0,1.0,49.0,22.0,1,0,1,0,0,0,0
817,Tormund,Wildling,,,,7.0,1,1,0,0,1,0,1
818,Torrek,None,,,,42.0,1,0,1,0,0,0,0
819,Torrhen Karstark,Stark,298.0,1.0,63.0,53.0,1,1,1,0,0,0,0
820,Tothmure,Lannister,299.0,2.0,64.0,30.0,1,0,0,1,0,0,0
821,Tregar,House Lannister,298.0,1.0,39.0,35.0,1,0,1,0,0,0,0
822,Tremond Gargalen,Martell,,,,38.0,1,1,0,0,1,0,1
823,Tristifer Botley,Greyjoy,,,,11.0,1,1,0,0,0,1,1
824,Triston Sunderland,Lannister,,,,9.0,1,1,0,0,0,0,1
825,Tuffleberry,None,,,,38.0,1,0,0,1,0,0,0
826,Tumberjon,Night's Watch,,,,0.0,1,0,0,0,1,0,0
827,Tumco Lho,Targaryen,,,,67.0,1,0,0,0,0,0,1
828,Tybero Istarion,None,,,,66.0,1,0,0,0,0,0,1
829,Tycho Nestoris,None,,,,44.0,1,0,0,0,0,0,1
830,Tyene Sand,House Martell,,,,38.0,0,1,0,0,0,1,1
831,Tymor,House Greyjoy,299.0,2.0,66.0,37.0,1,0,0,1,0,0,0
832,Tyrek Lannister,House Lannister,299.0,2.0,41.0,30.0,1,1,1,1,0,0,0
833,Tyrion Lannister,Lannister,,,,4.0,1,1,1,1,1,0,1
834,Tyta Frey,None,,,,49.0,0,1,0,0,1,0,0
835,Tytos Blackwood,Tully,,,,56.0,1,1,1,0,1,0,1
836,Tytos Brax,Lannister,,,,63.0,1,1,1,1,0,0,0
837,Tytos Frey,None,299.0,3.0,,,1,1,0,0,1,0,0
838,Tywin Lannister,House Lannister,300.0,3.0,77.0,42.0,1,1,1,1,1,0,0
839,Ulf son of Umar,Lannister,298.0,1.0,62.0,56.0,1,0,1,0,0,0,0
840,Ulf the Ill,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
841,Ulmer,Night's Watch,,,,33.0,1,0,0,0,1,0,1
842,Ulwyck Uller,Martell,,,,38.0,1,1,0,0,1,0,1
843,Umar,None,,,,56.0,1,0,1,0,0,0,0
844,Umfred,None,,,,68.0,1,0,0,0,1,0,0
845,Unella,None,,,,43.0,1,0,0,0,0,1,0
846,Urreg,Night's Watch,299.0,2.0,19.0,14.0,1,0,0,1,0,0,0
847,Urswyck,None,,,,21.0,1,0,0,0,1,0,0
848,Utherydes Wayn,Tully,,,,71.0,1,0,1,1,1,0,0
849,Utt,None,299.0,3.0,39.0,30.0,1,0,0,1,1,0,0
850,Val,Wildling,,,,7.0,0,0,0,0,1,0,1
851,Varamyr,Wildling,300.0,5.0,0.0,15.0,1,0,0,0,1,0,1
852,Vardis Egen,Arryn,298.0,1.0,40.0,34.0,1,0,1,0,0,0,0
853,Vargo Hoat,None,300.0,3.0,20.0,30.0,1,0,0,1,1,0,0
854,Varys,Targaryen,,,,25.0,1,0,1,1,1,0,1
855,Vayon Poole,Stark,298.0,1.0,21.0,7.0,1,0,1,1,0,0,0
856,Victarion Greyjoy,House Greyjoy,,,,24.0,1,1,0,1,0,1,1
857,Viserys Targaryen,House Targaryen,298.0,1.0,46.0,3.0,1,1,1,0,0,0,0
858,Vylarr,House Lannister,,,,3.0,1,0,0,1,0,0,0
859,Vyman,Tully,,,,55.0,1,0,0,1,1,1,0
860,Waif,None,,,,6.0,0,0,0,0,0,1,1
861,Walda Rivers (daughter of Aemon),None,,,,49.0,0,1,0,0,1,0,0
862,Walder Frey,None,,,,28.0,1,1,1,0,1,0,0
863,Walder Rivers,None,,,,35.0,1,1,0,0,1,1,0
864,Wallen,Wildling,298.0,1.0,37.0,37.0,1,0,1,0,0,0,0
865,Walton,None,,,,64.0,1,0,0,1,1,0,1
866,Wat (orphan),None,,,,37.0,1,0,0,0,0,1,0
867,Wat (sailor),None,,,,34.0,1,0,0,0,0,1,0
868,Watt,Night's Watch,299.0,3.0,75.0,69.0,1,0,0,0,1,0,0
869,Watty,None,,,,39.0,1,0,0,0,1,0,0
870,Waymar Royce,Night's Watch,297.0,1.0,0.0,0.0,1,1,1,0,0,0,0
871,Wayn (guard),House Stark,,,,37.0,1,0,1,0,0,0,0
872,Weasel,None,,,,9.0,0,0,0,1,0,0,0
873,Weeper,Wildling,,,,7.0,1,1,0,0,1,0,0
874,Weese,Lannister,299.0,2.0,38.0,26.0,1,0,0,1,0,0,0
875,Wendel Manderly,Stark,299.0,3.0,51.0,55.0,1,1,1,1,1,0,0
876,Wendello Qar Deeth,None,,,,40.0,1,1,0,1,0,0,0
877,Werlag,House Greyjoy,299.0,2.0,66.0,37.0,1,0,0,1,0,0,0
878,Wex Pyke,Stark,,,,24.0,1,0,0,1,0,0,1
879,Whalen Frey,None,,,,59.0,1,1,1,0,1,0,0
880,Wilbert,Stark,298.0,3.0,29.0,29.0,1,0,0,0,1,0,0
881,Will,Night's Watch,297.0,1.0,0.0,0.0,1,0,1,0,0,0,0
882,Will (orphan),None,,,,37.0,1,0,0,0,0,1,0
883,Willam Wells,Martell,300.0,5.0,6.0,6.0,1,0,0,0,0,0,1
884,Willem Lannister,House Lannister,299.0,3.0,20.0,19.0,1,1,0,0,1,0,0
885,William Mooton,Tully,,,,14.0,1,1,0,0,0,1,0
886,Willis Wode,Arryn,,,,31.0,1,1,1,0,0,0,0
887,Willit,Lannister,,,,65.0,1,0,0,1,0,0,0
888,Willow Witch-eye,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
889,Willum,Tully,,,,43.0,1,0,1,0,0,0,0
890,Woth,Night's Watch,299.0,2.0,14.0,14.0,1,0,0,1,0,0,0
891,Wulfe,House Greyjoy,,,,29.0,1,0,0,0,0,1,1
892,Wun Weg Wun Dar Wun,Wildling,,,,35.0,1,0,0,0,0,0,1
893,Wyl (guard),House Stark,298.0,1.0,35.0,35.0,1,0,1,0,0,0,0
894,Wyl the Whittler,None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
895,Wylis Manderly,Stark,,,,55.0,1,1,1,1,0,1,0
896,Wylla Manderly,Stark,,,,19.0,0,1,0,0,0,0,1
897,Wyman Manderly,Stark,,,,16.0,1,1,0,1,0,0,1
898,Wynafryd Manderly,Stark,,,,19.0,1,1,0,0,0,0,1
899,Wynton Stout,Night's Watch,,,,41.0,1,0,0,0,1,0,0
900,Xaro Xhoan Daxos,None,,,,12.0,1,1,0,1,0,0,1
901,Xhondo,None,,,,26.0,1,0,0,0,0,1,0
902,Yandry,House Targaryen,,,,8.0,1,0,0,0,0,0,1
903,Yellow Dick,None,300.0,5.0,46.0,12.0,1,0,0,0,0,0,1
904,Ygon Farwynd,Greyjoy,,,,19.0,1,1,0,0,0,1,0
905,Ygritte,Wildling,299.0,3.0,55.0,51.0,0,0,0,1,1,0,0
906,Yohn Farwynd,Greyjoy,,,,19.0,1,1,0,0,0,1,0
907,Yohn Royce,Arryn,,,,29.0,1,1,1,0,0,1,0
908,Yoren,Night's Watch,299.0,2.0,19.0,13.0,1,0,1,1,0,0,0
909,Young Henly,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0
910,Ysilla,House Targaryen,,,,8.0,1,0,0,0,0,0,1
911,Zei,Stark,,,,64.0,0,0,0,0,1,0,0
912,Zollo,None,,,,21.0,1,0,0,0,1,0,0
913,Yurkhaz zo Yunzak,None,300.0,5.0,59.0,47.0,1,0,0,0,0,0,1
914,Yezzan Zo Qaggaz,None,300.0,5.0,57.0,25.0,1,1,0,0,0,0,1
915,Torwynd the Tame,Wildling,300.0,5.0,73.0,73.0,1,0,0,0,1,0,0
916,Talbert Serry,Tyrell,300.0,4.0,29.0,29.0,1,1,0,0,0,1,0
