Name,URL,Image_URL,First Appearance,Home,Cause of Death,Title/Alias,Last Appearance,Status,Born,Seasons,Killed By,Portrayed by,Significant Kills,Gender,Occupation,Affiliation,Family,Age
Hugo,https://the100.fandom.com/wiki/Hugo,https://static.wikia.nocookie.net/thehundred/images/e/ec/Damocles_Part_2_-_Hugo_the_prisoner.jpeg/revision/latest/scale-to-width-down/268?cb=20180809162428,Eden,Earth (former) Shallow Valley (former) Eligius IV (former) Alpha (current) Sanctum (current),,Hugo,The Last War,Transcended,,"Five , Seven",,Hugo Raymundo,,Male,Prisoner (former),Eligius Prisoners,,30s-40s
Ilian,https://the100.fandom.com/wiki/Ilian,https://static.wikia.nocookie.net/thehundred/images/1/13/410_-_champion_3_-_ilian.jpg/revision/latest/scale-to-width-down/267?cb=20170428070831,Heavy Lies the Crown,Earth City of Light (former),Impaled in the neck by arrow Stabbed in the heart,,"Die All, Die Merrily",Deceased,,Four,Echo (arrow) Octavia Blake (stab; mercy kill),Chai Hansen,His family (under A.L.I.E.'s control) Delfikru Champion (indirectly) Boudalan Champion,Male,Warrior Farmer,Trishanakru A.L.I.E.'s Cult (former),Willa † (mother) Unnamed father † Unnamed brother †,
Indra,https://the100.fandom.com/wiki/Indra,https://static.wikia.nocookie.net/thehundred/images/4/4d/7x12_Indra_cropped.jpeg/revision/latest/scale-to-width-down/268?cb=20200814151742,Inclement Weather,Earth (current) Tondc (former) Polis (former) Second Dawn Bunker (former) Eligius IV (former) Alpha (former) The Farmhouse (former),,Chief of Tondc Wormana (War Chief) Seda (Teacher) Seya (Chief) Grounder (by Pike),The Last War,Alive,,"Two , Three , Four , Five , Six , Seven",,Adina Porter,3 Delinquents including Derek (caused) 1 chipped Grounder Briggs 3 chipped Sky People and 2 chipped Grounders (alongside Charles Pike ) Chase (possibly) Several Azgeda warriors Tarik (mercy kill) Kara Cooper (indirectly; co-conspirator) 1 member of Wonkru Marcus Kane II (assisted suicide) Approx. 30 of the Sanctumites (caused) 4 Disciples including Hull Sheidheda,Female,Warrior War Chief of Tondc (former) Mentor of Octavia Blake Advisor of Blodreina (former) Leader of Wonkru (former),Finalkru Trikru Resistance Against A.L.I.E. Wonkru,Unnamed father † Unnamed mother † Gaia (daughter) Unnamed husband † Octavia Blake (daughter figure),
Jacapo Sinclair,https://the100.fandom.com/wiki/Jacapo_Sinclair,https://static.wikia.nocookie.net/thehundred/images/0/05/SinclairCrop.jpg/revision/latest/scale-to-width-down/268?cb=20141128013403,Pilot,Earth (former) Arkadia The Ark (former),Stabbed / blood loss,,Demons (physical) The Other Side (hallucination by Raven),"Deceased , 2150 ; Arkadia",,"One , Two , Three , Four",Carl Emerson,Alessandro Juliani,,Male,Chief Engineer,Sky People Kane's Faction Resistance Against A.L.I.E.,Unnamed wife † Raven Reyes (daughter figure),
Jackie,https://the100.fandom.com/wiki/Jackie,https://static.wikia.nocookie.net/thehundred/images/b/bf/Delinquent_featured_in_Contents_Under_Pressure.PNG/revision/latest/scale-to-width-down/268?cb=20201105104237,Pilot,Earth (current) The Ark (former) The camp,,,Contents Under Pressure,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Minor Characters,https://the100.fandom.com/wiki/Jacov,,,,,,,,,,,,,,,,,
Jade,https://the100.fandom.com/wiki/Jade,https://static.wikia.nocookie.net/thehundred/images/e/ed/605_Jade_Crop.png/revision/latest/scale-to-width-down/267?cb=20190801161745,The Children of Gabriel,Sanctum,Mind wiped,Jasmine Mason,Adjustment Protocol,Deceased,,Six,Russell Lightbourne,Bethany Brown,,Female,Sanctum Guard Rose 's bodyguard (former) Josephine 's bodyguard (former),Sanctumites Primes,,
Jae Workman,https://the100.fandom.com/wiki/Jae_Workman,https://static.wikia.nocookie.net/thehundred/images/3/30/603_Jae.jpg/revision/latest/scale-to-width-down/268?cb=20200215201634,The Children of Gabriel,Alpha (current) Sanctum (current),,,Welcome to Bardo,Transcended,,"Six , Seven",,Dean Marshall,Priya Desai VII (assisted his wife),Male,Tavern owner Chef,Sanctumites,Blythe Ann Workman (wife) Delilah Workman † (daughter),
Jake Griffin,https://the100.fandom.com/wiki/Jake_Griffin,https://static.wikia.nocookie.net/thehundred/images/8/8b/Earth_Kills_091_%28Jake%29.png/revision/latest/scale-to-width-down/268?cb=20160831141015,Earth Kills (flashback),The Ark,Floated,,Adjustment Protocol (flashback),Deceased,,"One , Six",Unnamed Ark Guard Thelonious Jaha (ordered) Abigail Griffin (indirectly and unintentionally),Chris Browning,,Male,Senior Environmental Engineer Deputy Resource Officer,Sky People,Abigail Griffin † (wife) Clarke Griffin (daughter) Madi Griffin (adoptive granddaughter),
James Crockett,https://the100.fandom.com/wiki/James_Crockett,https://static.wikia.nocookie.net/thehundred/images/7/70/7x01_James_crop.png/revision/latest/scale-to-width-down/267?cb=20200602030629,Red Sun Rising,The Ark (former) Arkadia (former) Second Dawn Bunker (former) Eligius IV (former) Sanctum,Radiation exposure,,False Gods,"Deceased , 2281 ; Sanctum",,"Six , Seven",Himself (accidental),Camden Filtness,,Male,Engineer,Sky People Wonkru,Unnamed mother † Cora † (girlfriend),
James Harvey,https://the100.fandom.com/wiki/James_Harvey,https://static.wikia.nocookie.net/thehundred/images/b/b7/James_Harvey.png/revision/latest?cb=20250828174642,Pilot,Earth (current) The Ark (former) The camp,,,Murphy's Law,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Jasmine Mason,https://the100.fandom.com/wiki/Jasmine_Mason,https://static.wikia.nocookie.net/thehundred/images/3/36/Jasmine_Mason_6x13_cropped_-_Copy.png/revision/latest/scale-to-width-down/268?cb=20240712141137,Red Sun Rising,Earth (former) Sanctum (former),Shot (Prime) Floated (VII),Jasmine VII Jasmine Prime,The Blood of Sanctum,"Deceased , 2281 ; Eligius IV",,Six,Russell Lightbourne (Prime) Clarke Griffin (VII),Bethany Brown (VII),,Female,Prime,Eligius Corporation (former) Mission Team Alpha (former) Primes Sanctumites,Miranda Mason † (mother) Caleb Mason † (father),
Jasper Jordan,https://the100.fandom.com/wiki/Jasper_Jordan,https://static.wikia.nocookie.net/thehundred/images/c/c4/Devon-Jasper.image.jpg/revision/latest/scale-to-width-down/268?cb=20140312202822,Pilot,Earth (current) The Ark (former) The Camp (former) Mount Weather (former) City of Light (former) Arkadia (former),Suicide ( drug overdose ),Goggles,The Other Side,"Deceased , 2150 ; Arkadia",December 2133; The Ark,"One , Two , Three , Four",Himself,Devon Bostick,2 Trikru archers Several Trikru warriors including Tris (alongside Raven and Monty) 300 Trikru warriors (alongside Raven and Clarke) Dr. Lorelei Tsing (caused) 3 Mountain Weather Guards Himself,Male,Chemist Gunner Leader of the Mount Weather Delinquents (former),Sky People The 100 Bellamy's Militia Resistance Against A.L.I.E. (former) A.L.I.E.'s Cult (former),Unnamed Father † (mentioned) Unnamed Mother † (mentioned) Dane Jordan † (grounder ancestor) Monty Green † (best friend) Maya Vie † (love interest),16 (S1-2) 17 (S3-4)
Jeremiah,https://the100.fandom.com/wiki/Jeremiah,https://static.wikia.nocookie.net/thehundred/images/c/c7/705_Jeremiah.jpeg/revision/latest/scale-to-width-down/268?cb=20200622181125,Welcome to Bardo,Alpha (current) Sanctum (current),,Jerry (by Murphy) Jer (by Murphy),The Dying of the Light (flashback),Transcended,,Seven,,Adam Lolacher,,Male,,Sanctumites The Faithful (former),Lee (son) [ 1 ],
Jill Yaworski,https://the100.fandom.com/wiki/Jill_Yaworski,https://static.wikia.nocookie.net/thehundred/images/3/30/Jill_Yaworski_%28Day_Trip%29.png/revision/latest?cb=20250829044950,Pilot,Earth (current) The Ark (former) The camp,,,The Four Horsemen (mentioned),Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
John Mbege,https://the100.fandom.com/wiki/John_Mbege,https://static.wikia.nocookie.net/thehundred/images/7/77/John_Mbege-pilot.jpg/revision/latest?cb=20140404201637,Pilot,Earth The Ark (former) The Camp,Slit Throat,,His Sister's Keeper Join or Die (flashback),Deceased,,"One , Three",Unknown Grounder,Aaron Miko,,Male,,Sky People The 100 Bellamy's Militia,,17/18
John Murphy,https://the100.fandom.com/wiki/John_Murphy,https://static.wikia.nocookie.net/thehundred/images/7/71/716_promo_17_Murphy_crop.jpg/revision/latest/scale-to-width-down/268?cb=20210425173439,Pilot,The Ark (former) Earth (current) The Camp (former; banished) Arkadia (former) Becca's Island (former) Second Dawn Bunker (current) Go-Sci Ring (former) Shallow Valley (former) Eligius IV (former) Alpha (former) Sanctum (former),Seaweed toxin (revived by Cillian ),Murphy (surname) Fleimkepa ( Flamekeeper ) Cockroach Murph (by Raven ) Daniel Prime Holiness Hero Murphy (by Raven) Thor (by Raven ),The Last War,Alive,,"One , Two , Three , Four , Five , Six , Seven",Bellamy Blake (under influence of Red Sun toxin),Richard Harmon,Charlotte (indirectly) Derek (indirectly) 2 Delinquents (indirectly) Connor Myles Roz Rankin (alongside Emori ) Several Eligius Prisoners (alongside Emori and Echo ) Dozens of Eligius Prisoners (caused),Male,"Leader of the Sanctumites (former) Lieutenant in Bellamy's Militia (former) Fleimkepa (Flamekeeper, by ruse, former) Prime (former; by ruse)",Finalkru Delinquents Sky People Jaha's followers (former) Resistance Against A.L.I.E. Spacekru Primes (former) Sanctumites,Alex Murphy † (father) Unnamed Mother † Karl Murphy † (grounder ancestor) Emori (fiancée),"17 (S1-4) 23 (S5-7) 148 (chronologically, S6)"
Jones,https://the100.fandom.com/wiki/Jones,https://static.wikia.nocookie.net/thehundred/images/0/0a/JonesFullCrop.jpg/revision/latest?cb=20140510045408,Earth Kills,Earth (current) The Ark (former) The Camp,,,We Are Grounders (Part 2) Join or Die (flashback),Deceased,"September 13, 2131",One Three (flashback),Grounders,Shane Symons,,Male,Gunner,Sky People The 100,,18 [ 1 ]
Jordan Green,https://the100.fandom.com/wiki/Jordan_Green,https://static.wikia.nocookie.net/thehundred/images/d/d3/Jordan_in_the_Last_Season_Finale.png/revision/latest/scale-to-width-down/268?cb=20210311234834,Damocles (Part 2),Eligius IV (former) Alpha (former) Sanctum (former) Bardo (former) Earth (current) Second Dawn Bunker (former),,,The Last War,Alive,"May 10, 2158; Eligius IV","Five , Six , Seven",,Shannon Kook Neal Kai Chung (infant),,Male,,Finalkru Wonkru Sanctumites (former),Monty Green † (father) Harper McIntyre † (mother) Hannah Green † (grandmother) Unnamed grandfathers † (mentioned) Anna Rae Green † (grounder ancestor) Delilah Workman † (former love interest) Hope Diyoza (girlfriend),26 (biologically) 123 (chronologically)
Minor Characters,https://the100.fandom.com/wiki/Joroum,,,,,,,,,,,,,,,,,
Josephine Lightbourne,https://the100.fandom.com/wiki/Josephine_Lightbourne,https://static.wikia.nocookie.net/thehundred/images/b/be/602_Josephine_Crop.png/revision/latest/scale-to-width-down/268?cb=20240712140406,Red Sun Rising,Earth (former) Eligius III (former) Sanctum (former),Throat slit with an axe (prime; later brought back to life multiple times by using hosts with Nightblood ) Drugged and pushed out of a window (VII) Consciousness destroyed,Josephine II Josephine VII Josephine VIII Josephine Prime Josie Clarke Griffin Hurricane Josie (by Murphy ),Matryoshka (consciousness) Blood Giant (hallucination),"Deceased , 2281 ; Alpha",2020s,"Six , Seven",Russell Lightbourne I (prime; while he was in an eclipse-induced psychosis) Kaylee Lee VII (VII) Clarke Griffin (consciousness),"Sara Thompson (I, Prime) Skylar Radzion (II, first host) Gwynyth Walsh (VII, sixth host) Eliza Taylor (VIII, last host)",Kaylee Lee VII Isaac Tai Jr. Lee Family (indirect),Female,Biologist Prime,Mission Team Alpha (former) Sanctumites Primes Wonkru (by ruse; former),Russell Lightbourne † (father) Simone Lightbourne † (mother) Unnamed Grandfather † Unnamed Aunt † Gabriel Santiago † (former boyfriend),20s (as of arrival to Alpha ) 250-260s (chronologically) Late 60s or Early 70s (body of her previous host) 24 (body of her last host Clarke Griffin )
The Judge,https://the100.fandom.com/wiki/Judge,https://static.wikia.nocookie.net/thehundred/images/3/30/716_Judge_as_Abby.png/revision/latest/scale-to-width-down/268?cb=20240712135409,The Last War,Another plane of existence,,God (by Bill Cadogan ) Callie Cadogan Lexa Abby Griffin,The Last War,Transcended,,Seven,,Iola Evans (as Callie Cadogan ) Alycia Debnam-Carey (as Lexa ) Paige Turco (as Abby Griffin ),Countless species that failed the test including the Bardoans,,Judge of other species,Transcendents,,
Juel,https://the100.fandom.com/wiki/Juel,https://static.wikia.nocookie.net/thehundred/images/1/1a/3x14_Juel_-_City_of_Light.png/revision/latest/scale-to-width-down/268?cb=20170818041721,Join or Die,,,,Red Sky at Morning,Unknown,,Three,,Megan Danso,,Female,,Trikru Resistance Against A.L.I.E. (former) A.L.I.E.'s Cult (former),,
Justin Bishop,https://the100.fandom.com/wiki/Justin_Bishop,https://static.wikia.nocookie.net/thehundred/images/6/68/Justin_Bishop_%28Pilot%29.png/revision/latest/scale-to-width-down/268?cb=20250828195522,Pilot,Earth (current) The Ark (former) The camp,,,Pilot,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Justin Giles,https://the100.fandom.com/wiki/Justin_Giles,https://static.wikia.nocookie.net/thehundred/images/c/cb/Justin_Giles_%28Pilot%29.png/revision/latest/scale-to-width-down/256?cb=20250828195603,Pilot,Earth (current) The Ark (former) The camp,,,Murphy's Law,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Minor Characters,https://the100.fandom.com/wiki/Kahlan,,,,,,,,,,,,,,,,,
Kara Cooper,https://the100.fandom.com/wiki/Kara_Cooper,https://static.wikia.nocookie.net/thehundred/images/d/d6/Shifting_Sands_-_Cooper_crop.jpg/revision/latest/scale-to-width-down/268?cb=20200516231802,Red Queen,Earth (current) The Ark (former) Arkadia (former) Second Dawn Bunker (former),Parasitic worms,,A Sort of Homecoming (flashback),"Deceased , 2156; Second Dawn Bunker",2100s; The Ark,Five,Bellamy Blake Clarke Griffin,Kyra Zagorsky,,Female,Hydroponic farm manager Octavia's Guard,Sky People Wonkru,Unnamed husband † Unnamed father †,
Karina,https://the100.fandom.com/wiki/Karina,https://static.wikia.nocookie.net/thehundred/images/2/2d/KarinaShallow.jpg/revision/latest/scale-to-width-down/268?cb=20230314220318,Exit Wounds,Earth Shallow Valley (former) Second Dawn Bunker (former) Polis (former),Shot,,Acceptable Losses,Deceased,,Five,Kara Cooper Octavia Blake (ordered),Jenna Berman,,Female,,Louwoda Kliron Kru Wonkru (former),,20s
Kath Colonna,https://the100.fandom.com/wiki/Kath_Colonna,https://static.wikia.nocookie.net/thehundred/images/c/cc/Kath_Colona_%28Day_Trip%29.png/revision/latest/scale-to-width-down/268?cb=20250829062355,Pilot,Earth (current) The Ark (former) The camp,,,The Four Horsemen (mentioned),Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Katherine Wigzell,https://the100.fandom.com/wiki/Katherine_Wigzell,https://static.wikia.nocookie.net/thehundred/images/6/6d/Katherine_Wigzell_%28Murphy%27s_Law%29.png/revision/latest?cb=20250829001132,Pilot,Earth (current) The Ark (former) The camp,,,Murphy's Law,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Katie Stano,https://the100.fandom.com/wiki/Katie_Stano,https://static.wikia.nocookie.net/thehundred/images/8/84/Katie_Stano_%28Pilot%29.png/revision/latest/scale-to-width-down/268?cb=20250828195507,Pilot,Earth (current) The Ark (former) The camp,,,Twilight's Last Gleaming,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Kaylee Lee,https://the100.fandom.com/wiki/Kaylee_Lee,https://static.wikia.nocookie.net/thehundred/images/1/16/603_Kaylee.png/revision/latest/scale-to-width-down/268?cb=20190612214351,Red Sun Rising,Earth (former) Alpha (former) Sanctum (former),Stabbed in the neck (VII) Deleted ( Mind Drive ),Hijacker ( Raven & Diyoza ) LeeLee (by Josephine ) Kaylee Prime Kaylee Lee VII Kay (by Miranda Mason ) Princess Lee,Nevermind (flashback),Deceased,2030-2040; Earth (prime) 2237; Sanctum (VII resurrection),Six,Russell Lightbourne (Prime) Josephine Lightbourne VIII (VII) Simone Lightbourne VI ( Mind Drive ),Sarah-Jane Redmond (host),Josephine Lightbourne VII,Female,Prime Pilot,Primes Sanctumites Eligius Corporation (former) Mission Team Alpha (former),Victor Lee † (father) Faye Lee † (mother) Daniel Lee † (brother) Isaac † (love interest),65 (body of last host) 240-250 (chronologically)
Keenan Mykulak,https://the100.fandom.com/wiki/Keenan_Mykulak,https://static.wikia.nocookie.net/thehundred/images/2/2b/KeenanCropS2_2x01.jpg/revision/latest/scale-to-width-down/268?cb=20141206165343,The 48,"Earth , Mount Weather",Radiation exposure,,Long Into an Abyss,Deceased,,Two,Dr. Lorelei Tsing and Cage Wallace,Emily Haine,,Female,Docent at Mount Weather,Mountain Men,,Unknown
Kirsch,https://the100.fandom.com/wiki/Kirsch,https://static.wikia.nocookie.net/thehundred/images/8/8d/705_Kirsch_-_Copy.jpg/revision/latest/scale-to-width-down/268?cb=20200622181020,Welcome to Bardo,Bardo,Stabbed and impaled to death,,Nakara (episode),Deceased,,Seven,Echo,Kyle Warren,,Male,M-Cap Operator,Disciples,,20s
Klara,https://the100.fandom.com/wiki/Klara,https://static.wikia.nocookie.net/thehundred/images/7/70/705_Klara.jpg/revision/latest/scale-to-width-down/268?cb=20200920115130,Adjustment Protocol,Sanctum,Self-immolation,,Welcome to Bardo,Deceased,,"Six , Seven",Herself,Cassandra Ebner,,Female,,Sanctumites The Faithful,,30s
Knight,https://the100.fandom.com/wiki/Knight,https://static.wikia.nocookie.net/thehundred/images/3/3d/702_Knight_crop.png/revision/latest/scale-to-width-down/268?cb=20200604144542,False Gods,Earth (former) Second Dawn Bunker (former) Eligius IV (former) Alpha (current),Devoured by the Sanctum bugs,,Blood Giant,Deceased,,Seven,Sanctum bugs Emori (caused),Xavier de Guzman,,Male,Warrior,Wonkru Sangedakru,,
Kwame,https://the100.fandom.com/wiki/Kwame,https://static.wikia.nocookie.net/thehundred/images/7/75/709_Kwame.png/revision/latest/scale-to-width-down/268?cb=20200719001029,The Flock,Bardo (former),,,The Last War,Transcended,,Seven,,Alex Barima,1 member of Wonkru,Male,Disciple,Disciples,,
Kyle Wick,https://the100.fandom.com/wiki/Kyle_Wick,https://static.wikia.nocookie.net/thehundred/images/f/f3/PromoWick_2x14.jpg/revision/latest/scale-to-width-down/267?cb=20150220201426,The Calm,Earth (current) Arkadia (former) The Ark (former),Unknown,,Blood Must Have Blood (Part 2),Deceased,,"One , Two",,Steve Talley,4 Mount Weather Guards,Male,Engineer,Sky People,Unnamed mother Raven Reyes (ex-girlfriend),20's-30's
Layla,https://the100.fandom.com/wiki/Layla,https://static.wikia.nocookie.net/thehundred/images/6/63/611_Layla.png/revision/latest/scale-to-width-down/268?cb=20190724132308,Ashes to Ashes,COC Territory (former) Alpha Sanctum,Throat slit,,The Blood of Sanctum,Deceased,,Six,Tory,Megan Danso,,Female,,Children of Gabriel,Xavier † (brother),
Lee,https://the100.fandom.com/wiki/Lee,https://static.wikia.nocookie.net/thehundred/images/5/50/Lee.png/revision/latest/scale-to-width-down/268?cb=20150228063039,Reapercussions,Mount Weather,Radiation poisoning,,Blood Must Have Blood (Part 2),Deceased,,Season Two,Clarke Griffin and Bellamy Blake Monty Green (indirectly),Nick Hunnings,,Male,Mount Weather Guard,Mountain Men,,20s or 30s
Lee (Sanctumite),https://the100.fandom.com/wiki/Lee_(Sanctumite),https://static.wikia.nocookie.net/thehundred/images/5/56/705_Lee_-_Crop.png/revision/latest/scale-to-width-down/267?cb=20200820162030,Welcome to Bardo,Sanctum (current) Alpha (current),,,Blood Giant,Transcended,,Seven,,Max Archibald,,Male,,Sanctumites,Jeremiah (father),6-8
Levitt,https://the100.fandom.com/wiki/Levitt,https://static.wikia.nocookie.net/thehundred/images/c/ce/Levitt_716.png/revision/latest/scale-to-width-down/268?cb=20210807195845,Welcome to Bardo,Bardo (former) Earth (current),,Mr. Levitt Disciple Levitt,The Last War,Alive,Unknown; Bardo,Seven,,Jason Diaz,,Male,Memory Capture operator (former) Janitor (former) Member of the Disciple Cipher Team (former) Double agent for Octavia Blake,Finalkru Wonkru (former) Disciples (former),Octavia Blake (girlfriend),Early 30s
Lexa,https://the100.fandom.com/wiki/Lexa,https://static.wikia.nocookie.net/thehundred/images/c/c9/Lexa_in_Season_3.jpg/revision/latest/scale-to-width-down/267?cb=20220122002345,Fog of War,Earth Polis,Blood loss due to gunshot wound (body) Destruction of the Flame (consciousness),Heda ( Commander in Trigedasleng ) Commander of the Blood Heir to Bekka Pramheda Leksa kom Trikru (Lexa of the Woods Clan ) Clarke’s girlfriend (by John Murphy ),Thirteen (physical) Perverse Instantiation (Part 2) (City of Light) The Dying of the Light (flashback),"Deceased , 2150; Polis",2128,"Two , Three , Seven",Titus (unintentional) Raven Reyes and Gabriel Santiago (consciousness),Alycia Debnam-Carey,Finn Collins (ordered) Gustus Quint (indirectly) 250 Grounders & Sky People in Tondc (indirectly) Ice Nation Ambassador Queen Nia At least 8 members of A.L.I.E.'s Cult (in the City of Light ),Female,Commander of the 12 Clans Commander's novitiate (former) Anya 's second (former),Trikru Nightbloods Coalition (founder) Resistance Against A.L.I.E. (through the Flame ),Clarke Griffin (girlfriend) Costia † (late girlfriend),20-22
Lieutenant Graco,https://the100.fandom.com/wiki/Lieutenant_Graco,https://static.wikia.nocookie.net/thehundred/images/0/0b/Graco_crop_1x08.png/revision/latest/scale-to-width-down/268?cb=20150613010405,Day Trip,The Ark,Exodus ship explosion,,Unity Day,Deceased,,One,Mountain Men,Artine Brown,Commander Shumway,Male,Ark Guard,Sky People Sydney's Rebels,,
Lincoln,https://the100.fandom.com/wiki/Lincoln,https://static.wikia.nocookie.net/thehundred/images/6/6a/S2-cast-photos-lincoln.jpg/revision/latest/scale-to-width-down/267?cb=20160804023904,Twilight's Last Gleaming,Earth His Cave (former) Arkadia (former),Shot in the head,The Grounder The Reaper Linkon kom Trikru Brother (by Nyko ),Stealing Fire (physical) Demons (corpse) Welcome to Bardo (flashback),"Deceased , February, 18th 2150; Arkadia",,"One , Two , Three",Charles Pike,Ricky Whittle,Unnamed Sky Person Cage Wallace,Male,Warrior/Scout (former) Arkadia Guard (revoked),Trikru (exiled) Delinquents Sky People (former) Kane's Faction,Unnamed father Octavia Blake (girlfriend),20s
Lindo,https://the100.fandom.com/wiki/Lindo,https://static.wikia.nocookie.net/thehundred/images/5/52/716_promo_pic_Lindo_crop.jpg/revision/latest/scale-to-width-down/268?cb=20220326135006,The Dark Year,Earth (former) Second Dawn Bunker (former) Eligius IV (former) Alpha (current) Sanctum (current),,,The Last War,Transcended,,"Five , Seven",,Max Montesi,,Male,,Trikru Wonkru,,
Lisa Warren,https://the100.fandom.com/wiki/Lisa_Warren,https://static.wikia.nocookie.net/thehundred/images/0/0c/Lisa_Warren_%28Earth_Kills%29.png/revision/latest?cb=20250830211234,Pilot,Earth (current) The Ark (former) The camp,,,The Four Horsemen (mentioned),Unknown,,One,,Unknown,,Female,,Sky People The 100 Bellamy's Militia,,16-18
Lorelei Tsing,https://the100.fandom.com/wiki/Lorelei_Tsing,https://static.wikia.nocookie.net/thehundred/images/5/5a/DrTsingCrop.jpg/revision/latest/scale-to-width-down/268?cb=20141126122132,The 48,"Mount Weather , Earth",Radiation poisoning,Doctor,Rubicon,Deceased,,Two,Bellamy Blake Jasper Jordan Dante Wallace (indirectly),Rekha Sharma,Keenan Mykulak Many Grounders and several Delinquents,Female,Medical Doctor Chief Medical Officer [ 1 ],Mountain Men,,Unknown
Lorenza,https://the100.fandom.com/wiki/Lorenza,https://static.wikia.nocookie.net/thehundred/images/2/2e/707_Lorenza.png/revision/latest/scale-to-width-down/267?cb=20200702143138,The Queen's Gambit,Bardo,,,Etherea,Transcended,,Seven,,Tina Grant,,Female,Stone Conductor,Disciples,,40s
Luca,https://the100.fandom.com/wiki/Luca,https://static.wikia.nocookie.net/thehundred/images/0/03/706_Luca_Crop_1.png/revision/latest/scale-to-width-down/268?cb=20200625142234,Nakara,"Sanctum , Alpha",,,Blood Giant (physical) The Dying of the Light (flashback),Transcended,,Seven,,Dylan Kingwell,,Male,,Children of Gabriel,Unnamed parents †,
Luna,https://the100.fandom.com/wiki/Luna,https://static.wikia.nocookie.net/thehundred/images/0/02/Luna_Join_or_Die.png/revision/latest/scale-to-width-down/268?cb=20170919102423,Join or Die,Earth Floukru's Oil Rig (former) Arkadia (former) Becca's Island (former),Stabbed in the stomach from behind (during Final Conclave ),Luna kom Floukru Natblida Commander ’s novitiate Number 8,"Die All, Die Merrily","Deceased , 2150; Polis",2126-2129,"Three , Four",Octavia Blake,Nadia Hilker,Her brother Captain Derrick Roan Guara Mezi,Female,Leader of Floukru Commander 's novitiate (former),Nightbloods (former) Resistance Against A.L.I.E. (only briefly during the events on the oil rig) Floukru,Unnamed brother † Derrick (lover) † Adria (daughter figure) †,21-24
Macallan,https://the100.fandom.com/wiki/Macallan,https://static.wikia.nocookie.net/thehundred/images/f/ff/ImageMacallanCrop3x01.jpeg/revision/latest/scale-to-width-down/268?cb=20160109161153,Wanheda (Part 1),Earth (former) The Ark (former) Arkadia (former) Second Dawn Bunker (former) Eligius IV (former) Sanctum (former),,,Wanheda (Part 1),Likely transcended [ 1 ] [ 2 ],,Three,,Shawn Mendes,,Male,,Sky People Wonkru,,
Madi Griffin,https://the100.fandom.com/wiki/Madi_Griffin,https://static.wikia.nocookie.net/thehundred/images/9/95/A_Sort_of_Homecoming_-_Madi_Griffin.jpg/revision/latest/scale-to-width-down/268?cb=20200911003629,Praimfaya,Earth (former) Shallow Valley (former) Second Dawn Bunker (former) Eligius IV (former) Alpha (former) Sanctum (former) Bardo (former),,Little Nightblood (by Clarke) Child from Hell (by Clarke) Hobbit (by Murphy) Madi kom Wonkru (by Octavia) Madi kom Louwoda Kliron Kru Heda ( Commander ) Heir to Bekka Pramheda Successor to Leksa Kom Trikru My Baby (by Clarke),The Last War,Transcended,"2143-2144; Shallow Valley , Earth","Four , Five , Six , Seven",,"Imogen Tear ("" Praimfaya "") Lola Flanery ( S5 - S7 ) Lina Renna (young child)",Four Eligius Prisoners Faye Lee 's last host Miranda's lover Miranda Mason VIII,Female,Octavia 's Second (former) Commander of Wonkru (former) Student (former),Louwoda Kliron Kru Nightbloods Spacekru Wonkru,Unnamed Parents † Clarke Griffin (adoptive mother) Abby Griffin † (adoptive grandmother) Jake Griffin † (adoptive grandfather) Picasso (former pet),"6 (at the beginning of S5) 12 [ 1 ] (biologically, end of S4-7) 137 (chronologically, end of S5-7)"
Major Byrne,https://the100.fandom.com/wiki/Major_Byrne,https://static.wikia.nocookie.net/thehundred/images/d/dc/Major_Byrne.png/revision/latest/scale-to-width-down/268?cb=20150131043628,Inclement Weather,Earth The Ark (former) Arkadia (former),Severed arm/blood loss,Major,Survival of the Fittest,Deceased,,Two,Pauna (mutant gorilla),Kendall Cross,,Female,Captain of Camp Jaha Guard,Sky People,,
