Name,URL,Image_URL,Enemies,Seen in Series,Family,Ethnicity,Status,Location,Chapter Count,Type,Age,State,Hair Color,Leader(s),Episode Count,Romances,Eye Color,Aliases,Gender,Occupation,Real-world Counterpart/Filming Location,Pets,Actor,Issue/Episode,Merged With,Other Actors,Allies
Jocelyn (TV Series),https://walkingdead.fandom.com/wiki/Jocelyn_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/2f/Season_nine_jocelyn.png/revision/latest/scale-to-width-down/268?cb=20240318161811,,,Unknown,African-American,Dead,,,,Late 30s to Early 40s,,Black,,,,,Joce (by Michonne and her group ),Female,Post-Apocalypse Leader of her own group,,,Rutina Wesley,,,,
Jody (TV Series),https://walkingdead.fandom.com/wiki/Jody_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7e/Season_three_jody.png/revision/latest/scale-to-width-down/268?cb=20230508213904,,,Unknown,Caucasian-American,Dead,,,,Mid to Late Teens,,Brown,,,,Blue,,Male,Pre-Apocalypse Assumed High School Student Post-Apocalypse Soldier for the Woodbury Army,,,Tanner Holland,,,,
Joe (TV Universe),https://walkingdead.fandom.com/wiki/Joe_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/3/38/Us_Joe_OS.png/revision/latest/scale-to-width-down/268?cb=20250623013753,,,Unknown,Caucasian-American,Dead,,,,Mid 50s,,Gray,,2 ( Red Machete ) 4 ( The Walking Dead ),,,,Male,Pre-Apocalypse Mechanic Post-Apocalypse Leader of the Claimers,,,Jeff Kober,,,,
Joe Sr. (TV Series),https://walkingdead.fandom.com/wiki/Joe_Sr._(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f3/Season_four_joe_sr.png/revision/latest/scale-to-width-down/268?cb=20200629041502,,,Joe Jr. - Son,Caucasian-American,Dead,,,,Late 40s,,Brown,,,,,,Male,Pre-Apocalypse Owner of Joe & Joe Jr.'s BBQ Shack,,,Jake Garber,,,,
Joey (TV Series),https://walkingdead.fandom.com/wiki/Joey_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/16/Season_eight_joseph.png/revision/latest/scale-to-width-down/268?cb=20221130115232,,,Unknown,Caucasian-American,Dead,,,,Mid 20s,,Dark Brown,,,,,Skinny Joey,Male,Unknown,,,Trey Butler,,,,
John (Savior),https://walkingdead.fandom.com/wiki/John_(Savior),https://static.wikia.nocookie.net/walkingdead/images/2/20/Season_eight_john.png/revision/latest?cb=20180410012228,,,Unknown,Caucasian-American,Unknown,,,,Late 20s,,Dirty Blond,,2,,Blue,,Male,Post-Apocalypse Former Worker for the Saviors,,,Scott Deckert,,,,
John (TV Series),https://walkingdead.fandom.com/wiki/John_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/70/Season_eleven_john.png/revision/latest/scale-to-width-down/268?cb=20220223164704,,,Unknown,Latino-American,Unknown,,,,Late 40s to Early 50s,,Black,,,,,,Male,Post-Apocalypse Legal Supervisor at the Commonwealth,,,Franco Barberis,,,,
Johnson (TV Series),https://walkingdead.fandom.com/wiki/Johnson_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/20/Extra86_%28Faith%29.png/revision/latest/scale-to-width-down/268?cb=20240521200132,,,Unknown,African-American,Unknown,,,,Early 30s,,Black,,3,,,,Female,Post-Apocalypse Soldier for the Commonwealth Army,,,Rachel Hernandez,,,,
Jonah (TV Series),https://walkingdead.fandom.com/wiki/Jonah_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/ce/Season_nine_jonah.png/revision/latest?cb=20190321031111,,,( Unnamed ) - Adoptive Mother ( Unnamed ) - Adoptive Father,Caucasian-American,Unknown,,,,10-Aug,,Red,,,,,,Male,Pre-Apocalypse Student,,,Ryan Newman,,,,
Jones (TV Series),https://walkingdead.fandom.com/wiki/Jones_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/48/Season_eleven_jones.png/revision/latest/scale-to-width-down/268?cb=20221106024914,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Brown,,,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Vincent Van Hinte,,,,
Jorge (TV Series),https://walkingdead.fandom.com/wiki/Jorge_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/82/Season_one_jorge.png/revision/latest/scale-to-width-down/268?cb=20240701023028,,,Unknown,Latino-American,Dead,,,,Mid to Late 20s,,Black,,,,Brown,,Male,Post-Apocalypse Guard and Supply Runner for the Vatos Gang,,,James Gonzaba,,,,
José (TV Series),https://walkingdead.fandom.com/wiki/Jos%C3%A9_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a9/Season_eight_jose.png/revision/latest?cb=20180410012228,,,Unknown,Latino-American,Unknown,,,,Mid to Late 30s,,Brown,,3,,,,Male,Post-Apocalypse Former Worker for the Saviors,,,José Miguel Vasquez,,,,
Joseph (TV Series),https://walkingdead.fandom.com/wiki/Joseph_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/ec/Season_seven_joey.png/revision/latest/scale-to-width-down/268?cb=20161206190123,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 20s,,Dark Brown,,4,,,Fat Joey/Joseph,Male,Pre-Apocalypse U.S. Border Patrol Guard Post-Apocalypse Former Chief Engineer and Guard for the Saviors,,,Joshua Hoover,,,,
Josephine (TV Series),https://walkingdead.fandom.com/wiki/Josephine_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/61/Season_eleven_elijah_sister.png/revision/latest/scale-to-width-down/268?cb=20211013215106,,,Elijah - Brother,African-American,Dead,,,,Mid to Late Teens,,Black,,,,,,Female,Pre-Apocalypse Student,,,Unknown,,,,
Josephine Greene (TV Series),https://walkingdead.fandom.com/wiki/Josephine_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a2/Josephine_Greene.jpg/revision/latest/scale-to-width-down/268?cb=20140815052820,,,Hershel Greene † - Husband Maggie Rhee - Daughter Arnold Greene † - Nephew Hershel Rhee - Grandson Glenn Rhee † - Son-in-law Mr. Greene † - Father-in-Law,Caucasian-American,Dead,,,,Late 40s to Early 50s,,Brown,,,,Brown,,Female,Pre-Apocalypse Farmhand on the Greene Family Farm,,,Jewell McMickle (TV Series),,,Unknown (Dead City),
Joshua (TV Series),https://walkingdead.fandom.com/wiki/Joshua_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/cd/Kingdom30_%28How_It%27s_Gotta_Be%29.png/revision/latest?cb=20181118032453,,,( Unnamed ) † - Mother ( Unnamed ) - Maternal Grandfather,Caucasian-American,Unknown,,,,10-Aug,,Brown,,3,,,,Male,Pre-Apocalypse Student,,,Unknown,,,,
Joshua Smith (Dead City),https://walkingdead.fandom.com/wiki/Joshua_Smith_(Dead_City),https://static.wikia.nocookie.net/walkingdead/images/7/7c/Season_two_joshua_smith.png/revision/latest/scale-to-width-down/268?cb=20250616010513,,,Annie Smith - Mother Negan Smith - Father Mrs. Smith † - Paternal Grandmother Mr. Smith † - Paternal Grandfather,African/Caucasian-American,Alive,,,,8 months ( TV Series ) 5 ( Dead City ),,Black,,2,,Brown,,Male,,,,Unknown,,,,
Juanita Sanchez (TV Series),https://walkingdead.fandom.com/wiki/Juanita_Sanchez_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7b/Season_eleven_juanita_sanchez.png/revision/latest/scale-to-width-down/268?cb=20221126222339,,,Dougie - Stepfather (Unnamed) - Stepbrother,Puerto Rican-American,Alive,,,,"28-29 ("" Splinter "") 29-30 ("" Trust "") 30-31 ("" Rest in Peace "")",,Black Purple (Dyed),,15,Michael Mercer - Boyfriend,Brown,Princess Aurora (code name),Female,Pre-Apocalypse High School Student Record Store Employee Retail Employee Waitress at Missy Moose's Pizzeria Post-Apocalypse Former Bluetick General Clerk at the Commonwealth,,,Paola Lázaro,,,,
Judith Grimes (TV Universe),https://walkingdead.fandom.com/wiki/Judith_Grimes_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/7/73/Season_one_judith_grimes.png/revision/latest/scale-to-width-down/268?cb=20240402002019,,,Lori Grimes † - Mother Shane Walsh † - Father [ 1 ] Michonne Grimes - Adoptive Mother Rick Grimes - Adoptive Father [ 1 ] Evie - Possible Aunt Carl Grimes † - Half Brother R.J. Grimes - Adoptive Brother Jean † - Paternal Great-Grandmother,Caucasian-American,Alive,,,,"One week ("" The Suicide King "") 8 months ("" No Sanctuary "") 1 ("" Service "") 2 ("" A New Beginning "") 3 ("" Scars "") 9 ("" What Comes After "") 10 ("" Lines We Cross "") 12 ("" Rest in Peace ""/"" The Last Time "")",,Brown,,84 ( The Walking Dead ) 3 ( The Ones Who Live ),,Brown,Jude Little Asskicker (by Daryl ) Shōtō (by Michonne ),Female,Post-Apocalypse Former Student and Children's Self-Defense Teacher at the Alexandria Safe Zone Former Soldier for the Coalition Student at the Commonwealth 's Education Hall,,Dog - Dog,Cailey Fleming,,,Adelaide & Eliza Cornwell ( S3 ) Loudyn & Leighton Case ( S3 ) Tinsley & Anniston Price ( S4 ) Eleora & Elisea DiFranco ( S4 ) Sophia & Delia Oeland ( S4 ) Charlotte & Clara Ward ( S5 ) Kiley & Jaelyn Behun ( S5 ) Chloe & Sophia Garcia-Frizzi ( S6 - S9 ) Kinsley Isla Dillon ( S8 ),
Jules Butler (TV Series),https://walkingdead.fandom.com/wiki/Jules_Butler_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c6/Season_eleven_jules.png/revision/latest/scale-to-width-down/268?cb=20221107231437,,,Unknown,Caucasian-American,Dead,,,,Early 30s,,Amber,,7,Luke Abrams † - Boyfriend,,,Female,Post-Apocalypse Soldier for the Coalition,,,Alex Sgambati,,,,
Julio (TV Series),https://walkingdead.fandom.com/wiki/Julio_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/8e/Season_four_julio.png/revision/latest?cb=20131202051919,,,Unknown,Latino-American,Dead,,,,Mid 30s,,Black,,2,,,,Male,Pre-Apocalypse Mechanic,,,Santiago Cirilo,,,,
Justin (TV Series),https://walkingdead.fandom.com/wiki/Justin_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/38/Season_nine_justin.png/revision/latest/scale-to-width-down/268?cb=20181008205318,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Dark Brown,,3,,,,Male,Unknown,,,Zach McGowan,,,,
Kal (TV Series),https://walkingdead.fandom.com/wiki/Kal_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/7a/Season_nine_kal_%282%29.png/revision/latest?cb=20190318192409,,,Unknown,Asian-American,Unknown,,,,"Early 20s ("" Knots Untie "") Late 20s to Early 30s ("" Stradivarius "")",,Black,,19,,,,Male,Post-Apocalypse Guard Captain for the Hilltop Colony Former Soldier for the Militia Self-Defense Instructor,,,James Chen,,,,
Karen (TV Series),https://walkingdead.fandom.com/wiki/Karen_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/6a/Season_four_karen.png/revision/latest/scale-to-width-down/268?cb=20230502022159,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Dark Brown,,13,Tyreese Williams † - Boyfriend,Brown,,Female,Pre-Apocalypse Teacher Post-Apocalypse Former Soldier for the Woodbury Army Guard for the Prison,,,Melissa Ponzio,,,,
Kasey (TV Series),https://walkingdead.fandom.com/wiki/Kasey_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/9b/Extra12_%28Lockdown%29.png/revision/latest?cb=20220926183147,,,Unknown,Caucasian-American,Unknown,,,,Mid to Late 40s,,Brown,,5,,,,Male,Post-Apocalypse Owner and Florist at Kasey's Kaleidoscope,,,Demetrios J. Stavropoulos,,,,
Kathleen (TV Series),https://walkingdead.fandom.com/wiki/Kathleen_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/20/Season_eleven_kathleen.png/revision/latest/scale-to-width-down/268?cb=20221024020030,,,Unknown,Caucasian-American,Unknown,,,,Late 20s to Early 30s,,Brown,,,,,,Female,Post-Apocalypse Executive Assistant for Pamela Milton,,,Katie Causey,,,,
Kathy (TV Series),https://walkingdead.fandom.com/wiki/Kathy_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/77/Season_nine_kathy.png/revision/latest?cb=20200511170612,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Dark Brown,,10,,,,Female,Post-Apocalypse Former Soldier for the Militia,,,Nicole Barré,,,,
Katy (TV Series),https://walkingdead.fandom.com/wiki/Katy_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/29/Season_eight_katy.png/revision/latest/scale-to-width-down/267?cb=20200517011255,,,Unknown,Caucasian-American,Dead,,,,Late 20s,,Brown,,5,,,,Female,Unknown,,,Katy O'Brian,,,Bethany Kasulas,
Katz (TV Series),https://walkingdead.fandom.com/wiki/Katz_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/bf/Trooper1_%28Whats_Been_Lost%29.png/revision/latest/scale-to-width-down/268?cb=20221025210955,,,Unknown,Caucasian-American,Alive,,,,Late 30s to Early 40s,,Red,,5,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Dalton Baxter,,,,
Kayla Brand (TV Series),https://walkingdead.fandom.com/wiki/Kayla_Brand_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/3d/Season_eleven_kayla.png/revision/latest/scale-to-width-down/267?cb=20220328045737,,,Lena Brand - Mother,Caucasian-American,Unknown,,,,Early to Mid 20s,,Auburn,,2,Sebastian Milton † - Late Boyfriend,,,Female,Pre-Apocalypse Student,,,Courtney Dietz,,,,
Keith (TV Series),https://walkingdead.fandom.com/wiki/Keith_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/70/Season_eleven_keith.png/revision/latest/scale-to-width-down/268?cb=20210920010135,,,Unknown,Caucasian-American,Unknown,,,,Late 30s to Early 40s,,Brown,,,,,,Male,Post-Apocalypse Leader of the Whisperers,,,Brad Fleischer,,,,
Kelly (Hilltop),https://walkingdead.fandom.com/wiki/Kelly_(Hilltop),https://static.wikia.nocookie.net/walkingdead/images/f/f7/Hilltop4_%28Mercy%29.png/revision/latest/scale-to-width-down/268?cb=20200517202713,,,Unknown,African-American,Dead,,,,Mid to Late 20s,,Black,,6,,,,Female,Post-Apocalypse Guard for the Hilltop Colony Soldier for the Militia,,,Lisa Wilson Jackson,,,,
Kelly (TV Series),https://walkingdead.fandom.com/wiki/Kelly_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/d8/Season_eleven_kelly_%282%29.png/revision/latest/scale-to-width-down/268?cb=20221126214018,,,Connie - Sister,African-American,Alive,,,,Mid to Late 20s,,Black,,33,,,Kel (by Magna ),Female,Pre-Apocalypse High School Student Post-Apocalypse Former Lookout for Coalport Former Soldier and ASL Teacher for the Coalition Former Hunter for the Hilltop Colony Photographer and ASL Interpreter for Connie at the Commonwealth Tribune,,,Angel Theory,,,,
Kenneth Sutton (TV Series),https://walkingdead.fandom.com/wiki/Kenneth_Sutton_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/1c/KeniboiCrop.jpeg/revision/latest/scale-to-width-down/268?cb=20181227045923,,,Tammy Rose Sutton † - Mother Earl Sutton † - Father,Caucasian-American,Dead,,,,22,,Brown,,,,,,Male,Pre-Apocalypse Student Post-Apocalypse Supply Runner and Horse Handler for the Hilltop Colony,,,AJ Achinger,,,,
Keno (TV Series),https://walkingdead.fandom.com/wiki/Keno_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/ce/Season_eight_keno.png/revision/latest/scale-to-width-down/268?cb=20260301060613,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,10,,,,Male,Post-Apocalypse Guard for the Saviors,,,Nathan Hicks,,,,
Kent (TV Series),https://walkingdead.fandom.com/wiki/Kent_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/44/Season_seven_kent.png/revision/latest/scale-to-width-down/268?cb=20210720225310,,,Unknown,Caucasian-American,Dead,,,,Mid 40s,,Dark Brown (Balding),,9,,,,Male,Post-Apocalypse Soldier for the Militia,,,David Marshall Silverman,,,,
Kevin (TV Series),https://walkingdead.fandom.com/wiki/Kevin_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/93/Season_eight_kevin.png/revision/latest/scale-to-width-down/268?cb=20200513021431,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,5,,,,Male,Post-Apocalypse Soldier for the Militia,,,Jason Burkey,,,,
Kim (TV Series),https://walkingdead.fandom.com/wiki/Kim_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/4c/Hilltop1_%28Trust%29.png/revision/latest/scale-to-width-down/268?cb=20220328163005,,,Unknown,Caucasian-American,Unknown,,,,Early to Mid 30s,,Light Brown,,8,,,,Female,Unknown,,,Gloria DeWeese,,,,
"King County, Georgia (TV Universe)","https://walkingdead.fandom.com/wiki/King_County,_Georgia_(TV_Universe)",https://static.wikia.nocookie.net/walkingdead/images/0/0b/King_County_S3.jpg/revision/latest/scale-to-width-down/268?cb=20190831163756,,,,,"Overrun, Abandoned and Partially Reclaimed by Nature",,,Rural County,,Georgia,,,,,,,,,,,,,,,
King County Sheriff's Department,https://walkingdead.fandom.com/wiki/King_County_Sheriff%27s_Department,https://static.wikia.nocookie.net/walkingdead/images/8/8b/Kings_County_Sheriff_Building.jpg/revision/latest/scale-to-width-down/268?cb=20111031053932,,,,,Disbanded,,,Law Enforcement Agency,,"King County , Georgia",,,,,,,,,,,,,,,
Kurt (TV Series),https://walkingdead.fandom.com/wiki/Kurt_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/37/Season_eight_kurt.png/revision/latest/scale-to-width-down/268?cb=20220128174429,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Brown,,,,,,Male,Post-Apocalypse Medic for the Kingdom and the Militia,,,Nick Arapoglou,,,,
Kyle (TV Series),https://walkingdead.fandom.com/wiki/Kyle_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b8/Season_ten_kyle.png/revision/latest/scale-to-width-down/268?cb=20210301012728,,,Unknown,African/Caucasian-American,Unknown,,,,"Late 30s to Early 40s ("" First Time Again "") Mid to Late 40s ("" Who Are You Now? "")",,Brown,,25,,,,Male,Post-Apocalypse Former Soldier for the Militia Member of the Alexandria Council,,,Marvin Lee,,,,
Lamar (TV Series),https://walkingdead.fandom.com/wiki/Lamar_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/35/Lamar_1.png/revision/latest/scale-to-width-down/268?cb=20221130115840,,,Unknown,African-American,Unknown,,,,Early 40s,,Black,,,,,,Male,Unknown,,,Jerry Mortel,,,,
Lambert Kendal (TV Series),https://walkingdead.fandom.com/wiki/Lambert_Kendal_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/13/Season_one_lambert_kendal.png/revision/latest?cb=20191117034541,,,Unknown,African-American,Unknown,,,,Late 40s to Early 50s,,Black,,2,,Brown,,Male,Pre-Apocalypse Former Member of the U.S. Military Deputy for King County Sheriff's Department,,,Jim R. Coleman,,,"Unknown Stand-In ("" Bloodletting "")",
Lance (TV Series),https://walkingdead.fandom.com/wiki/Lance_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/5a/Season_eight_lance.png/revision/latest?cb=20191128040945,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 20s,,Blue (Dyed),,,,,,Male,Unknown,,,Colin Dennard,,,,
Lance Hornsby (TV Series),https://walkingdead.fandom.com/wiki/Lance_Hornsby_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a4/Season_eleven_lance_hornsby.png/revision/latest/scale-to-width-down/268?cb=20220926173956,,,Mr. Hornsby - Father,Caucasian-American,Dead,,,,Late 40s to Early 50s,,Brown,,15,,,,Male,Post-Apocalypse Former Deputy Governor and Director of Operations of the Commonwealth,,,Josh Hamilton,,,,
Laura (TV Series),https://walkingdead.fandom.com/wiki/Laura_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/5b/Season_ten_laura.png/revision/latest/scale-to-width-down/268?cb=20200225023632,,,Franklin - Adoptive Father,Caucasian-American,Dead,,,,"Early 20s ("" Here's Negan ""/"" The Cell "") Late 20s ("" Who Are You Now? "")",,Blonde,,23,(Unnamed) † - Late Boyfriend,,,Female,Pre-Apocalypse Medic Post-Apocalypse Supply Runner for Franklin's Group Former Lieutenant of the Saviors Member of the Alexandria Council Soldier for the Coalition,,,Lindsley Register,,,,
Leah Shaw (TV Series),https://walkingdead.fandom.com/wiki/Leah_Shaw_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/25/Season_eleven_leah_shaw.png/revision/latest/scale-to-width-down/268?cb=20220410044204,,,Matthew Shaw † - Adopted Son,Caucasian-American,Dead,,,,"Early to Mid 40s ("" Find Me "") Mid to Late 40s ("" Acheron: Part II "")",,Blonde (Graying),,9,Daryl Dixon - Ex-Boyfriend,,,Female,Pre-Apocalypse Soldier for the U.S. Military Mercenary Post-Apocalypse Former Second-in-Command and Leader of the Reapers,,Dog's Mother † - Dog Dog - Former Dog,Lynn Collins,,,,
Len (TV Series),https://walkingdead.fandom.com/wiki/Len_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/68/Season_four_len.png/revision/latest/scale-to-width-down/268?cb=20250624225416,,,Unknown,Caucasian-American,Dead,,,,Mid 30s,,Brown,,3,,,,Male,Unknown,,,Marcus Hester,,,,
Lena Brand (TV Series),https://walkingdead.fandom.com/wiki/Lena_Brand_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/63/Season_eleven_lena_brand.png/revision/latest/scale-to-width-down/268?cb=20221024020034,,,Kayla Brand - Daughter,Caucasian-American,Unknown,,,,Mid to Late 50s,,Brown,,,,,,Female,Unknown,,,Joann Willette,,,,
Leo (TV Series),https://walkingdead.fandom.com/wiki/Leo_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/65/Season_eight_leo.png/revision/latest/scale-to-width-down/268?cb=20200517182942,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 40s,,Brown,,,,,,Male,Unknown,,,Adam Cronan,,,,
Leon Basset (TV Universe),https://walkingdead.fandom.com/wiki/Leon_Basset_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/5/56/Season_one_leon_basset.png/revision/latest?cb=20191117034220,,,Unknown,Caucasian-American,Dead,,7 (Maximum) 6 (Minimum),,Early 20s,,Brown,,2,,Brown,,Male,Pre-Apocalypse Deputy for King County Sheriff's Department,,,Linds Edwards,,,"Unknown Stand-In ("" Bloodletting "")",
Leslie Starton (TV Series),https://walkingdead.fandom.com/wiki/Leslie_Starton_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/90/Season_seven_leslie_william_starton.png/revision/latest/scale-to-width-down/268?cb=20161213030548,,,Unknown,Caucasian-American,Dead,,,,Unknown,,Brown,,,,,,Male,Unknown,,,None,,,,
Lewis (TV Series),https://walkingdead.fandom.com/wiki/Lewis_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/67/Trooper3_%28Family%29.png/revision/latest?cb=20240805162020,,,Unknown,Caucasian-American,Alive,,,,Unknown,,Unknown,,4,,,,Male,Post-Apocalypse Former Soldier for the Commonwealth Army Gardener for the Hilltop Colony,,,Lucas Hammond,,,,
Licari (TV Series),https://walkingdead.fandom.com/wiki/Licari_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/84/Season_five_officer_licari.png/revision/latest/scale-to-width-down/268?cb=20250711232448,,,Unknown,Italian-American,Dead,,,,Mid 30s,,Brown,,2,,,,Male,Pre-Apocalypse Police Officer,,,Christopher Matthew Cook,,,,
Lieutenant Rose (TV Series),https://walkingdead.fandom.com/wiki/Lieutenant_Rose_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/87/Season_eleven_rose.png/revision/latest/scale-to-width-down/268?cb=20221114230340,,,Unknown,African-American,Alive,,,,Late 30s to Early 40s,,Black,,2,,,,Male,Post-Apocalypse Lieutenant of the Commonwealth Army,,,Dexter Tillis,,,,
Lilly Chambler (TV Series),https://walkingdead.fandom.com/wiki/Lilly_Chambler_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/70/Season_four_lilly_chambler.png/revision/latest/scale-to-width-down/268?cb=20191119034038,,,David Chambler † - Father Tara Chambler † - Sister Meghan Chambler † - Daughter (Unnamed) - Ex-Husband,Caucasian-American,Dead,,,,Mid to Late 30s,,Brown,,3,Philip Blake † - Ex-Boyfriend,,,Female,Pre-Apocalypse Oncology Nurse,,,Audrey Marie Anderson,,,,
Lim (TV Series),https://walkingdead.fandom.com/wiki/Lim_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/d8/Season_eleven_lim.png/revision/latest/scale-to-width-down/268?cb=20220328045753,,,Unknown,Caucasian-American,Alive,,,,Mid to Late 20s,,Brown,,7,,,,Male,Pre-Apocalypse Student Post-Apocalypse Soldier for the Commonwealth Army,,,Kenneth Ford,,,,
Linus (TV Series),https://walkingdead.fandom.com/wiki/Linus_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a4/Season_nine_linus.png/revision/latest/scale-to-width-down/267?cb=20190318160853,,,Unknown,Caucasian-American,Dead,,,,10-Aug,,Blond,,,,,,Male,Pre-Apocalypse Student,,,Luke David Blumm,,,,
Lisa (TV Series),https://walkingdead.fandom.com/wiki/Lisa_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/73/Season_ten_lisa.png/revision/latest/scale-to-width-down/268?cb=20200324012128,,,Virgil - Husband Jasmine † - Daughter Bobby † - Son,African-American,Dead,,,,Mid to Late 30s,,Dark Brown,,,,,,Female,Unknown,,,Denisha Gillespie,,,,
Livits (TV Series),https://walkingdead.fandom.com/wiki/Livits_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/93/Trooper1_%28Rogue_Element%29.png/revision/latest/scale-to-width-down/268?cb=20220228214209,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,11,Zell - Lover,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,Jason Fernandes,,,"Chase Anderson ("" Family "")",
Lizzie Samuels (TV Series),https://walkingdead.fandom.com/wiki/Lizzie_Samuels_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/0f/Season_four_lizzie_samuels_%282%29.png/revision/latest/scale-to-width-down/268?cb=20231027222051,,,Mrs. Samuels † - Mother Ryan Samuels † - Father Carol Peletier - Adoptive Mother Mika Samuels † - Sister,Caucasian-American,Dead,,,,12,,Dirty Blonde,,12,,,,Female,Pre-Apocalypse Assumed Middle School Student,,,Brighton Sharbino,,,"London Pigott ("" Ghosts "")",
Lori Grimes (TV Series),https://walkingdead.fandom.com/wiki/Lori_Grimes_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e7/Season_three_lori_grimes.png/revision/latest/scale-to-width-down/268?cb=20191117025815,,,(Unnamed) † - Mother Rick Grimes - Husband Carl Grimes † - Son Judith Grimes - Daughter Mrs. Grimes - Mother-In-Law Mr. Grimes † - Father-In-Law Evie - Sister or Sister-In-Law,Caucasian-American,Dead,,,,"38 ("" Days Gone Bye "") 39 ("" Seed "")",,Brown,,33,Shane Walsh † - Ex-Boyfriend,Hazel,Olive Oyl (by Daryl ),Female,Pre-Apocalypse Former Student at King County High School Housewife,,Codger † - Dog,Sarah Wayne Callies,,,,
Lothar (TV Series),https://walkingdead.fandom.com/wiki/Lothar_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/56/Season_eleven_lothar.png/revision/latest/scale-to-width-down/268?cb=20221010023512,,,Unknown,Caucasian-American,Unknown,,,,Mid to Late 30s,,Dirty Blond,,,,,,Male,Post-Apocalypse Wrestler,,,Michael Proctor,,,,
